player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,小铃,花帆,慈,姬芽,吟子,瑠璃乃,缀理,梢
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,131,11580284859716140,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,132,11574446553958790,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,133,11573346503490660,10,10,10,10,10,10,10,10,10
7VE9T0CUP,ファイナル牙,PBRDPWEY1,村村会,14,134,11570618443111990,10,10,10,10,10,10,10,10,10
WYT65FE8G,ティーカップ,M5LHG6R4T,乙宗動物園,2,135,11556744782813860,10,10,10,10,10,10,10,10,10
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,136,11551665655970150,10,10,10,10,10,10,10,10,10
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,137,11539457977599980,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十穣角,10,138,11531787533339280,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,139,11531328061829510,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,140,11523109179073890,10,10,10,10,10,10,10,10,10
EGDNFP2WQ,ハマ,11XTEEEJT,リンクラ料理部,10,141,11521327294597700,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,142,11520049914496800,10,10,10,10,10,10,10,10,10
8JKPKHDHC,葉山家のぬいα,EYN9H9N16,蓮すきすきクラブ,15,143,11510858408359600,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,144,11493263317302280,10,10,10,10,10,10,10,10,10
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,145,11489912517893970,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,146,11481257931560320,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,147,11474709439899470,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,148,11455831585845050,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,7,149,11423765791093740,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,8,150,11421783543479660,10,10,10,10,10,10,10,10,10
OS5RF4SH8,ふら,GXR6C85BT,花帆ちゃん親衛隊,11,151,11405490869285020,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,15,152,11395406425452720,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,153,11390913157952840,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,154,11384243829017090,10,10,10,10,10,10,10,10,10
V7YLMH2IY,反射剣,PBRDPWEY1,村村会,15,155,11381061752148840,10,10,10,10,10,10,10,10,10
C9325WMEN,月光のオノ,PBRDPWEY1,村村会,13,156,11372345444781920,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,157,11357427417012800,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,158,11348029283205400,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,159,11337136438936640,10,10,10,10,10,10,10,10,10
NY9X4SWNC,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,160,11335256978656200,10,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,161,11329659336698440,10,10,10,10,10,10,10,10,10
8ZJCO1B8D,ナイル川飲み干す,VW65MCVF8,スリスリーズ,7,162,11323760962908910,10,10,10,10,10,10,10,10,10
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,163,11320891689773610,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,164,11314582938584780,10,10,10,10,10,10,10,10,10
5LL48ARPU,シュウ,BKLW6CR5L,Mix鮭の空!!,15,165,11313439514899660,10,10,10,10,10,10,10,10,10
A1YL665HX,dai,YCTM6RYDP,金沢おでん同好会,15,166,11312348192376980,10,10,10,10,10,10,10,10,10
