player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,梢,さやか,小铃,花帆,瑠璃乃,吟子
TW9L2LKS7,ボクと契約して魔,YE7CX8RNP,蓮ノ大三十秭角,15,122,6461489819100234,10,10,10,10,10,10,10,10,10
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,123,6448563856261507,10,10,10,10,10,10,10,10,10
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,124,6443298102637886,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,125,6430470371541387,10,10,10,10,10,10,10,10,10
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,14,126,6422608053012960,10,10,10,10,10,10,10,10,10
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,127,6414340589367921,10,10,10,10,10,10,10,10,10
JC33CNHML,昇天弓,PBRDPWEY1,村村会,14,128,6388207772666860,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,129,6383242567204404,10,10,10,10,10,10,10,10,10
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,130,6377415471758442,10,10,10,10,10,10,10,10,10
ZX04ZZ2IW,きく,YCTM6RYDP,金沢おでん同好会,14,131,6375301826962566,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,132,6361234751127069,10,10,10,10,10,10,10,10,10
FZMYZZPRK,彩花,EYN9H9N16,蓮すきすきクラブ,11,133,6357396657473001,10,10,10,10,10,10,10,10,10
8JKPKHDHC,引弱の鳥籠,EYN9H9N16,蓮すきすきクラブ,15,134,6349401846499469,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,135,6348224253891763,10,10,10,10,10,10,10,10,10
NY9X4SWNC,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,136,6319824794814822,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,137,6319590228826338,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,138,6318444204491164,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,139,6315581338385628,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十秭角,10,140,6314692346948982,10,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,141,6312423535949372,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,142,6310665582802877,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,143,6308467512989417,10,10,10,10,10,10,10,10,10
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,144,6308229713768038,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,14,145,6306773152064139,10,10,10,10,10,10,10,10,10
C9325WMEN,雪崩,PBRDPWEY1,村村会,13,146,6302232131424662,10,10,10,10,10,10,10,10,10
7XT268BWG,春はこずめぐ,FVJFA973A,蓮ノ空愛好会,15,147,6290384918091363,10,10,10,10,10,10,10,10,10
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,148,6283112305551370,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,149,6282773206937809,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,150,6281817985964424,10,10,10,10,10,10,10,10,10
