player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,姬芽,花帆,梢,瑠璃乃,吟子,小铃,缀理,さやか
ALF76WC94,あかつき,RWARTHA1M,乙宗梢大好き部,15,173,3886613816994361,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,174,3885294325951376,10,10,10,10,10,10,10,10,10
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,175,3885199345545572,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,176,3883973073178758,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,7,177,3880500305667341,10,10,10,10,10,10,10,10,10
OC4GF3LF1,ゆとり,M5LHG6R4T,乙宗動物園,12,178,3879627031120300,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,179,3877079760690297,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,180,3876984023802027,10,10,10,10,10,10,10,10,10
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,181,3873825748975334,10,10,10,10,10,10,10,10,10
2288GCGEH,湯切り啜り,EYN9H9N16,蓮すきすきクラブ,14,182,3872773138434880,10,10,10,10,10,10,10,10,10
MEGKKH1W5,ccv,D7H8MN2U4,LLD,15,183,3871329619680201,10,10,10,10,10,10,10,10,10
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,15,184,3869820620432905,10,10,10,10,10,10,10,10,10
7VE9T0CUP,ファイナル牙,PBRDPWEY1,村村会,14,185,3866312491828664,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,15,186,3855499173014401,10,10,10,10,10,10,10,10,10
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,187,3851451021517172,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,188,3839933448994302,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,189,3839524630890162,10,10,10,10,10,10,10,10,10
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,190,3836026049005661,10,10,10,10,10,10,10,10,10
PQHU8G8OV,ミナミ,FVJFA973A,蓮ノ空愛好会,15,191,3835097169826331,10,10,10,10,10,10,10,10,10
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,192,3830027915154332,10,10,10,10,10,10,10,10,10
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,193,3828730135787457,10,10,10,10,10,10,10,10,10
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,194,3823661415885982,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,195,3818899616049971,10,10,10,10,10,10,10,10,10
WW0937PXY,ゆば,FG4170141,♪さやか愛好会♪,0,196,3810722032512571,10,8,10,10,10,10,9,10,9
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,197,3810616827326842,10,10,10,10,10,10,10,10,10
74NVPKIGI,"なめろうoNM,",73CBYJYB0,"oNM,",15,198,3805825469909023,10,10,10,10,10,10,10,10,10
ZYR6MKI25,Ringo,L15B25270,蓮女マネージャー,11,199,3805801543642963,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,200,3804940534050236,10,10,10,10,10,10,10,10,10
