player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A RANK,结算前A分数,结算前B RANK,结算前B分数,结算前C RANK,结算前C分数,结算前音游 RANK,结算前音游分数,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
9GTAH3J0O,バンダージャット,RMUU3AH3X,蓮ノ空広島県支部,840,0,12019,264461,10855,2990286,11198,1461562,11102,1843060,0,0,5,7,6,4,4,4,4,7,41
JH9AHRK0G,たけのこの山,K25DPPGT9,圧倒的にまったり,1050,4,12020,264340,10856,2981398,10302,5043258,10624,3428459,0,0,4,4,6,7,7,9,8,9,54
7ULWY3GMP,もちこ,X45T3U322,アニメ最高クラブ,864,5,12021,264200,9265,192363395,8863,111867139,8552,365466622,0,0,1,2,4,5,7,7,1,3,30
FZOBJ7M16,★星☆,5YC6VF1VM,じゆうだぁー,698,2,12022,264020,9112,304768041,8610,214725602,8874,147762877,0,0,1,2,1,1,1,1,1,1,9
WFD0URM7U,okano,CCWCNY3P5,団子,1253,7,12023,263948,0,0,0,0,0,0,0,0,7,6,6,8,5,8,5,7,52
6COPO2GWH,ころろ,7MXXR7UBG,放課後リンクラ部,827,2,12024,263890,10450,6811234,10818,2324331,11467,1106448,0,0,2,4,1,3,1,1,6,6,24
X097W4DVI,たか,YVF1V2AH6,蓮ノ空全共闘,673,0,12025,263840,9392,129343913,8183,535148039,0,0,0,0,1,8,1,2,1,4,1,5,23
90AB8XN31,ゆう,6JFCA000E,ひとりぼっち,273,0,12026,263800,10698,4103521,10829,2298742,10630,3404271,0,0,2,4,4,1,1,1,1,1,15
6OAIL7N17,モップ,A84BK7PL4,ゆるっとホリディ,1166,3,12027,263660,9651,59106225,8412,319932763,8645,278385423,0,0,7,6,4,8,5,5,9,1,45
KJY6KBK8W,えいと,XREYFXTHJ,白ニーソひざ枕部,469,0,12028,263620,11313,1225361,11066,1707671,10198,6851731,0,0,4,6,7,10,2,1,9,1,40
W6T3NEM91,0110,F1MKFU63C,temp,406,0,12029,263264,0,0,0,0,0,0,0,0,2,3,2,1,1,5,1,4,19
JEH4KUBUA,ゆゆみか,3F0M4HXJE,蓮ノ空まったり部,634,2,12030,263210,8982,446666017,8645,196210966,0,0,0,0,2,2,1,2,2,1,1,1,12
0NRP458KM,空のデッキケース,T3XUTYGC3,隔離病棟,775,0,12031,263080,11177,1573077,10552,3521404,10425,4532779,0,0,7,5,4,8,4,7,6,6,47
EUUTX4KXV,nameless,AND13836G,乙宗梢親衛隊,748,0,12032,262990,10810,3325637,10951,1992210,10622,3433390,0,0,8,8,4,7,6,8,7,8,56
F1LP2V55C,エマランジュが板,9P9EPKFHE,無言参加OK,512,0,12033,262922,11088,1893200,11031,1784356,10668,3226372,0,0,5,3,5,4,1,5,2,1,26
GBHHMI4PS,武志,DFFYFJ2B6,つづさや好き過ぎ,868,4,12034,262760,9016,407709151,8883,103697485,8937,123891888,0,0,3,3,1,7,1,7,2,4,28
V0LRNXCV8,コンブ,6XXUPXMV0,ツイ廃さや,414,0,12034,262760,8801,635215614,12068,25347,0,0,0,0,7,2,6,2,9,5,1,1,33
SYMHEQQTH,むらた,KA1249N3H,沼津倶楽部,976,2,12036,262751,0,0,0,0,0,0,0,0,7,6,5,8,5,6,5,7,49
BG25C3UWN,オリオン,WRFLMWL4U,映り込み金魚,584,0,12037,262630,0,0,0,0,0,0,2651,39957149,1,2,1,2,3,1,1,1,12
MAN6UVAB8,スワロー,XE8513HNP,喫茶カワウ空✨,1172,2,12038,262580,0,0,0,0,0,0,0,0,7,6,7,9,5,7,8,7,56
K23T83CL1,津島カイリュー,LW4M70BTY,姫サーの槍,1231,4,12039,262490,10232,11543016,8267,448323220,8830,172061404,0,0,2,6,4,6,5,7,8,9,47
V71PR8MV0,ソノフナミ,T4WY63DB9,ういのま,740,0,12040,262450,10469,6486936,10324,4893145,10629,3406818,0,0,3,4,4,3,1,3,3,4,25
TBA8KKT8U,しえる,KJU0BU77M,無言交流なし,1080,5,12041,262400,9619,65034119,8263,454078323,8986,109063442,2378,74397760,9,5,7,2,1,9,7,9,49
WWSAOOYZF,スライム,TR057C1UW,蓮ノ空ぼっち部,874,3,12041,262400,9303,170279723,8570,232858891,8717,225544962,0,0,7,6,5,4,5,4,1,5,37
G5R7N8F00,しゃふと,U98UKD6RY,異次元フェスP,953,4,12043,262360,11821,480819,10159,6286933,10659,3258936,0,0,4,7,7,6,5,8,4,7,48
7XXI1GT00,エルメル・マータ,8BAYBXUXC,スリブ大好き♪,958,0,12044,262270,10941,2591030,10725,2607760,10375,4982152,0,0,1,2,2,2,4,4,7,8,30
W8ALKY4HF,56(ごろー),58EPXVKXX,金沢総合車両所,407,1,12045,262220,9497,95523211,9537,20491587,8368,510927090,0,0,3,2,3,5,2,1,1,1,18
MEGFFWHVV,トキソー,3194B9E93,初心者寄り合い所,581,0,12046,261950,9489,96630418,8627,205911866,8591,322395071,0,0,5,4,5,8,1,7,5,7,42
4EHNJ9CG8,花京院,PXDL7Y3VM,ビギナーズ改,452,0,12047,261860,9421,118997169,8217,498467531,0,0,0,0,2,1,3,3,1,2,1,1,14
