player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
GJWNTSJQX,おーくぼ,W3F0URUJC,梢先輩応援団,1244,6,13930,2582355,,,6,4,6,5,7,2,7,6,43
VMCEE0JPG,でじまき。,3RH5MYBXV,こずめぐ党,971,2,13931,2582221,,,6,4,1,5,5,5,4,5,35
2HUMR0MF5,うらむすめ,YAY2UK2CT,蓮の空研究部,1046,6,13932,2581825,,,10,8,10,8,7,8,10,9,70
BMTMYL0N2,わたみほ,GN9EEL045,きらくに,493,0,13933,2581755,,,10,6,3,7,7,3,1,2,39
7YDEHBD7N,BS Anime,GN9EEL045,きらくに,284,0,13934,2580303,,,10,6,4,3,6,8,4,6,47
OSH6IS8ST,Peg,VXF8P7NDC,どんぐり。,933,0,13935,2578146,,,9,7,6,8,6,7,8,9,60
FQZHFE11M,ショウジ,WDK6AXBEW,仲良しクラブ,666,0,13936,2577518,,,7,4,4,4,5,4,4,4,36
4MNEWG4SF,ヴェス,VGG1HM53K,のんのん日和,883,5,13937,2576218,,,2,7,6,6,4,7,10,10,52
WBM41FWCB,歩く,G6EH0KHT7,なんもわからん,859,1,13938,2575460,,,8,9,5,1,1,3,2,8,37
G2QPXXKXG,TKM,GNYPXJ2BU,プライズ,874,2,13939,2574943,,,2,4,3,10,5,4,5,10,43
7KN0AZA94,hiro,R823XDC14,Legato,999,12,13940,2573814,37357305.0,2834.0,7,4,6,8,7,5,6,7,50
JOGV31U92,はみゅ,YAY2UK2CT,蓮の空研究部,659,2,13941,2573778,,,2,1,4,3,1,2,1,5,19
OXHB63LHS,ささ,1CWFDNDLL,流しそうめん部,918,0,13942,2572828,,,5,5,4,7,5,6,8,7,47
N0NAKE9V5,tp,D5YC75NF3,畜群,306,0,13943,2572663,,,2,2,3,1,2,2,1,1,14
JX22PENHD,Jerry,7X71T9R7J,憩いの場所,138,0,13944,2571831,,,3,1,3,1,1,2,3,1,15
GIQRA5HFC,taki,KA652DGYV,ゆるリンクラ,766,0,13945,2571487,,,6,6,7,7,9,4,1,7,47
N4X14QH73,ベビーブレス,6MWHCNJE8,蓮之空小賣部,992,5,13946,2571348,,,7,4,7,7,5,7,10,10,57
VG8ZMSLND,DiMO,279NUYU7C,れんこん,921,1,13947,2570514,,,6,4,4,8,1,5,5,8,41
VSF4CTA4R,黄麟,T48KV9EP2,無言ぱーく,582,3,13948,2569635,,,5,6,10,5,7,7,10,8,58
UUR1U5TR4,めー,75UJ5RB97,蓮ノ空雪野球部,751,0,13949,2569449,,,1,1,1,2,1,1,1,2,10
XVHNRFCG8,フロンタル,M67ACEP3M,オーバーブースト,689,2,13950,2569404,,,2,4,4,1,5,2,1,5,24
0L6TJK6M6,とぴあ,KHE3R0EE7,チーム本屋,349,0,13951,2568788,,,3,5,3,1,1,2,2,1,18
X6DVEKXJW,ほ,M851LEV3N,なっす父兄,501,4,13952,2568517,,,4,2,3,2,1,2,1,2,17
C2F9TU8FA,ネコマター,C2XLWUTL1,夕霧綴理親衛隊,757,0,13953,2568329,,,5,7,3,8,7,6,10,10,56
V8RAAVMN4,虎フジ,EHGD5JJK1,限界夜行,929,1,13954,2567639,,,2,1,2,5,5,6,5,1,27
TULR96TM0,ながつき,YMKU30246,参加賞がほしい,208,0,13955,2564005,,,5,5,3,4,3,3,3,3,29
M6LB50ARH,イワナ,3A63DYH54,LLすこすこ部,921,2,13956,2563396,,,4,4,6,7,4,1,4,8,38
R9JPC588P,ルチア,B1RJE0HRM,てつP,794,5,13957,2562307,,,10,6,3,7,5,6,2,8,47
477P1WCXV,海曜雫香,XXMU9WLKB,梢の機械さん,923,2,13958,2561531,,,6,3,5,9,8,7,5,9,52
FN0TBCMYE,コニオ,HK0E91U71,放課後写真部,892,4,13959,2556206,,,3,8,2,7,7,1,8,5,41
SWC6400DJ,そんちょう,TW2M129HM,花陽ちゃん,1123,0,13960,2555786,,,5,4,6,4,7,6,8,8,48
EYV6020JK,コピー,73VTANA71,隨緣努力^▽^,749,2,13961,2555086,,,2,1,5,1,5,2,1,5,22
HK9JF9AV0,かほ@り,7D5TKBG45,リ!リ!リ！,479,0,13962,2553789,17986961.0,3255.0,2,3,2,4,1,2,2,1,17
LTWJYLJ1W,かなで,KXEME076E,つづさや親衛隊,189,0,13963,2553080,,,10,7,4,4,1,2,3,1,32
WJT9HUGAB,ムサシ,97BGFLKW9,◯◯◯,181,0,13964,2552235,,,7,5,8,3,4,4,3,6,40
MMQGHAWYG,ぴろっつ,G0J2F9NAL,さやさやさーくる,1030,0,13965,2550973,,,3,4,4,1,1,1,1,1,16
184TCH8BJ,柚月,WN3LHKX0L,レンコンおいしい,1279,0,13966,2550534,,,10,7,8,8,7,4,10,9,63
N0R5CPCA4,TAKU,AVX749PPB,姫芽ちゃん親衛隊,488,0,13967,2550127,,,7,3,8,4,5,7,10,8,52
8J8VY8L35,猫の宮,RYKUNH6CN,建前,779,0,13968,2549667,,,7,5,6,7,5,6,8,8,52
RT7C36VS3,リリカノ,KA3D805XV,綴理の寝顔守り隊,654,0,13969,2549404,,,3,1,5,1,4,7,1,7,29
8FNJXMV4L,ごめす,6FWRD1K40,いちじょ海賊団,1134,1,13970,2545890,,,8,7,8,1,7,2,9,9,51
584X3V4PF,Colin,WXT031VXV,フリー,366,0,13971,2545616,,,8,5,7,8,5,6,8,7,54
AWJFX5TDT,カラ松,6BFC4G5YG,蓮ノ空足湯同好会,1098,7,13972,2544916,,,8,5,6,8,8,6,9,9,59
7K0TZ2D0Y,Chino,2L8R7GAV6,大賀美組,937,2,13973,2544798,,,7,5,2,7,1,3,1,7,33
1J958HF7D,せな,WLAXT7CTW,碧,706,2,13974,2544623,,,5,9,8,1,5,4,4,5,41
EWSBRB27O,ゆうぞう,8ARWEB67F,蓮ノ空れぎゃ米部,863,1,13975,2543640,,,7,5,7,4,7,5,8,8,51
EWPD09M2B,Firkin,X2YN7JW88,蓮ノツバサ,850,2,13976,2543315,,,8,7,8,7,4,7,7,8,56
5QQTCKBJF,にここと,VXF8P7NDC,どんぐり。,845,0,13977,2540361,,,6,5,6,7,7,6,8,8,53
QUEPN0NJ7,てんてん,A73H7ENN2,エロマンガ同好会,937,0,13978,2539081,,,4,7,3,1,5,5,4,8,37
XTGTU9HPE,Aria,0UTVRAKFL,平穏無言,765,2,13979,2537244,,,5,8,5,6,2,2,2,6,36
W38M65DFH,MCJAM,TK9E1BB1P,無言で自由,698,0,13980,2536965,,,2,1,3,1,1,1,1,1,11
YA545XJNR,ルマンドー,5KK3DFY18,MUGEN∞,705,0,13981,2536744,,,4,4,4,1,4,2,2,5,26
MRYLPG4KY,あみこ,K5TN1RT6D,キンカンナマナマ,773,2,13982,2536413,,,2,1,1,1,5,2,1,1,14
8Z0V9OLHJ,レグルス,DYAMB6AWK,コスモワールド,897,3,13983,2534837,,,6,8,3,5,6,2,5,6,41
0BU6EEMD9,みっちぇ,A457YXJ5R,個人用,967,0,13984,2534383,,,7,5,7,7,8,5,9,8,56
R2GKXJJBF,ラララ,3L9R1604N,頑張る人は美しい,879,1,13985,2534147,,,1,4,4,8,7,1,8,7,40
