player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,56,15734000,10,10,10,10,10,10,10,10,80,60
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,57,15636000,10,10,10,10,10,10,10,9,79,60
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,58,15599000,10,10,10,10,10,10,10,10,80,60
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,59,15563000,10,10,10,10,10,10,10,10,80,60
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,15,60,15557000,10,10,10,10,10,10,10,10,80,60
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,61,15545000,10,10,10,10,10,10,10,10,80,60
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,2,62,15538000,10,10,10,10,10,10,10,10,80,60
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,12,63,15511000,10,10,10,10,10,10,10,10,80,60
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,63,15511000,10,8,10,9,7,8,10,10,72,52
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,65,15482000,10,10,10,10,10,10,10,10,80,60
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,66,15445000,10,9,10,9,10,9,10,10,77,57
8GYTX89XA,武家,PBRDPWEY1,村村会,15,67,15429000,10,10,10,10,10,10,10,10,80,60
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,68,15403000,10,10,10,10,10,10,10,10,80,60
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,69,15399000,10,10,10,10,10,10,10,10,80,60
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,70,15338000,10,10,10,10,10,10,10,10,80,60
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,70,15338000,10,10,10,10,10,10,10,10,80,60
W6KGEJ697,まだまだお,GXR6C85BT,花帆ちゃん親衛隊,8,72,15334000,10,10,10,10,10,10,8,9,77,60
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,73,15317000,10,10,10,10,10,10,10,10,80,60
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,74,15296000,10,8,7,9,9,8,10,10,71,51
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,75,15249000,10,10,10,10,10,10,10,10,80,60
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,76,15175000,10,10,10,10,10,10,10,10,80,60
S1JO65QZU,すと。,PBRDPWEY1,村村会,9,77,15151000,10,9,10,10,10,10,7,7,73,59
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,78,15137000,10,10,10,10,10,10,10,10,80,60
C7IMXOP79,ナーガ,RWARTHA1M,乙宗梢大好き部,6,79,15100000,10,10,10,10,10,10,10,10,80,60
