player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,姬芽,缀理,瑠璃乃,梢,慈,小铃,花帆,さやか,季度等级
8JDT6KXGY,飛鳥II,F8MLHU2NV,乙宗梢様､､､,0,2775,316786753656456,4,4,7,6,7,5,4,8,7,52
8TVJ3W4XF,ぼたん音頭,9C0KWR782,まったリンクラ,0,2776,316367688879695,6,5,10,7,9,6,10,6,10,69
DM845G6CU,Mea.,Y2HV0YEF7,蓮ノ空を応援し隊,6,2777,316153526877820,7,10,10,8,7,7,7,10,7,73
YDG5E4CRJ,Asagi,578YG6EAT,桜桃花束愛聴会,5,2778,315858168715728,8,10,10,10,10,10,8,10,9,85
CB07BEGGR,チェケラんどう,FG5VFFNRK,蓮ノ空おじさん,0,2779,315776316090720,9,10,10,6,9,9,9,8,8,78
9UK70BG13,あーる,79C17CHA2,蓮ノ空出張部,0,2780,315608244785820,5,5,7,4,7,7,5,7,7,54
KEUT2YHCJ,はちしき,FH7G62PKW,月火水木金土日,0,2781,315541936314163,7,5,6,4,8,7,8,8,8,61
TKF8H11YL,けーか,CV62FGL1U,花咲かせ隊,10,2782,315186035582939,1,5,1,4,1,3,2,6,2,25
WGOPEUKC7,さかさ,HWJ8XPW0T,箱推しなのだけど,3,2783,314862190884226,6,8,10,7,7,7,7,10,10,72
D3DW11YG9,まっち〜,82CY1DN9W,みらくるねす,0,2784,314631186121656,6,4,9,5,7,6,5,7,6,55
DR984WMXL,ゆいぱな,KW0RM1LEP,はすっこくらぶ,3,2785,314431345162777,8,9,10,8,9,10,6,8,8,76
C1XE53G4J,ぶちお,W6JWRJGJH,ハロめぐ同盟,2,2786,314406230798220,1,5,9,6,7,5,1,7,7,48
U7ZSQEUNS,keeee,RHU8M5VUL,幼馴染同好会,4,2787,314173779646991,6,7,9,7,8,9,7,9,9,71
FD7RWBHMV,jun,RWARTHA1M,乙宗梢大好き部,5,2788,313883937183115,10,10,10,10,10,10,9,10,10,89
6TAURY0XE,つかたに,N2KCENRKH,猫＆旅大好き部,7,2789,313799147560747,6,6,8,6,7,7,4,7,8,59
J7BA3D4F9,ライフ,NPDK1A7BD,機械さん学部,4,2790,313735935639606,9,4,2,6,3,6,4,6,7,47
MP18Y88B9,ののの,AG9PKMMC3,ぱかぱか同好会,1,2791,313048311988506,1,3,9,4,5,9,1,2,9,43
13XHM268M,ゆ♡,GKR9TEBYC,毎日がホリデイ♪,7,2792,313013750530766,5,6,7,9,8,8,4,7,6,60
89G6L7YM4,iroha丶,919XF8V2V,蓮之空大三腳,5,2793,312739240394372,2,8,6,7,8,9,2,7,6,55
7R1SZ5PEX,Yuuki,NC2YT2V28,蓮之愛同予者何人,10,2794,312643533222617,6,6,9,5,7,9,5,9,7,63
MNVF5G0UB,イースト,8J1GJT2BC,近畿の大金沢,4,2795,312597185633691,8,9,10,9,9,10,8,10,10,83
5R45M9EEL,紗月,0B8RTHY4D,のんびり屋さん,3,2796,312004420845005,6,7,7,7,9,9,5,8,6,64
762ZY9B09,たろう,JTX1G19BP,さやかほ癒し会,3,2797,311879037620533,4,6,8,8,7,9,5,8,7,62
JWB12P0L3,あなざー,M206VENTF,蓮紺の会,3,2798,311713529107739,8,6,10,6,7,10,6,10,7,70
P98TR2N96,ブレイブ,UX96YX4T1,『位置について』,1,2799,311540994943575,6,6,8,7,10,9,5,10,6,67
PL5UVV4LA,モモ,GUB0YLPWA,料亭「さち処」,9,2800,311295113939053,9,5,5,7,6,10,5,6,7,60
XCE9FSAGE,ナギサ,HBUK6F7CC,乙宗梢なりきり部,9,2801,310820619708248,5,7,7,7,9,8,6,6,8,63
TLJ0BRFAA,ブリンソン,GVY1F8C9D,花咲くラブライ部,1,2802,310249522641867,4,4,7,6,4,9,4,3,7,48
FD951GM49,ばれんてぃん,PH0YEPJD8,蓮ノ空北國金沢校,0,2803,310162154223893,5,7,10,2,5,10,4,8,8,59
UFUDFBLJJ,ワラタ,BH9YH1YL5,ラブライバーの森,2,2804,309679150857603,7,9,10,7,8,9,7,8,9,74
7KWHMXO3X,shogun,MVMP6NNXD,空き時間らくがき,4,2805,309578910385453,5,7,8,7,9,9,6,8,8,67
NXRK2PX0U,ネヒ,573J1JVVK,かほかほ,0,2806,308820335066471,4,6,8,5,7,10,4,8,8,60
RZ9ER2MW0,ソルティ,YCTM6RYDP,金沢おでん同好会,14,2807,308319067755411,9,9,10,10,10,10,9,8,8,83
D9Q2PE3YQ,せるいる,49AMYCXCD,ルドベキア,12,2808,307451926091556,6,6,10,8,6,10,7,7,9,69
ROPNJW7BT,とんぬら,W26TRPM1R,めぐ党藤島派,5,2809,307129230477465,5,7,10,4,9,10,6,9,7,67
HTN6PPZN5,ひな,W3YKKRWHG,ルリと愉快な一家,2,2810,307071605175721,7,7,10,8,9,10,4,9,9,73
LDAK66P9A,ミケ,K8C99H42D,ルリと喜ド！愛楽,1,2811,306578114716941,7,8,10,7,9,10,7,9,9,76
U4Q9QD42M,シマリス,HBUK6F7CC,乙宗梢なりきり部,12,2812,306414334185698,7,7,8,7,7,10,8,7,8,69
ACB85YNR2,ユマす,AXG81GPMP,蓮ノ空マタギ部,2,2813,306205878892778,10,10,10,10,10,10,10,10,10,90
113HJKP0C,りき,METTKFVC3,サムズアップ村,0,2814,305946069913947,3,6,6,6,8,9,3,8,6,55
8071A0HW1,にょっく,G0J2F9NAL,さやさやさーくる,8,2815,305931486182284,4,4,9,4,7,6,5,8,8,55
2DZ75N97R,こーせ,PPAHU1TNY,蓮ノ空のんびり部,4,2816,305302395127874,4,5,7,4,7,7,4,7,7,52
14PM5Q2R4,ぱん,73CBYJYB0,"oNM,",7,2817,305230891770434,9,9,10,10,9,10,8,8,8,81
BSVI4O7H3,ばたく,8R49BTWW6,蓮女お嬢様クラブ,3,2818,305191827041721,4,5,8,4,7,9,4,6,4,51
9URKXE4EY,ルト,DHKUGEWBJ,めぐ党虹ヶ咲支部,3,2819,305171036982907,5,7,9,8,9,10,5,9,7,69
TJ3V3UPA3,ぶい,RF5215M2U,スクステ同好会②,4,2820,304894100028740,7,9,9,9,7,10,7,7,9,74
9JJVUNQQY,なつめやし,M7HJCP8WY,留年回避補習室,0,2821,304704125369694,5,6,9,7,9,9,4,8,8,65
8PO71UMCM,エモいナ,T8X0G07YB,なければ立てる！,4,2822,304200080942890,5,5,8,10,8,9,9,9,10,73
GWLM8MOD7,ちてい,1BME38BCD,さすさやクラブ,2,2823,304142633025452,5,4,10,5,8,9,5,7,8,61
2KA7CXTUM,たま8段,K8C99H42D,ルリと喜ド！愛楽,2,2824,304077531900287,5,5,8,6,8,10,6,9,8,65
YBRZQWVP5,てゃかみ,YUVK7R51W,萌え萌え倶楽部,12,2825,303702226455648,7,8,10,8,9,9,7,10,8,76
D01VGVCR2,さきいわ,BH244Y5H0,休暇建設協会,11,2826,303507754676410,5,7,7,3,1,3,4,3,7,40
