player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,梢,缀理,吟子,慈,姬芽,花帆,瑠璃乃,小铃
OQX4GEHB0,ぎんいろ,11XTEEEJT,リンクラ料理部,9,203,4972442473461267,10,10,10,10,10,10,10,10,10
BYUQ1C0VJ,かわしゅん,PBRDPWEY1,村村会,11,204,4971334211619907,10,10,10,10,10,10,10,10,10
XKLJ2EBER,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,205,4964914530521517,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,206,4951937552255034,10,10,10,10,10,10,10,10,10
74NVPKIGI,"なめろうoNM,",73CBYJYB0,"oNM,",15,207,4949009813416401,10,10,10,10,10,10,10,10,10
HUREN9CYS,サキ,PBRDPWEY1,村村会,2,208,4946674724069293,10,10,10,10,10,10,10,10,10
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,209,4943735823703847,10,10,10,10,10,10,10,10,10
TF3P7YXVG,三面異次元人ギギ,VW65MCVF8,スリスリーズ,5,210,4942802746184886,10,10,10,10,10,10,10,10,10
I3Z8DKKMK,naru,YCTM6RYDP,金沢おでん同好会,15,211,4939119339172790,10,10,10,10,10,10,10,10,10
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,212,4935906754159429,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,14,213,4932800547644914,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,7,214,4931836918755885,10,10,10,10,10,10,10,10,10
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,11,215,4917591768415979,10,10,10,10,10,10,10,10,10
