player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,さやか,瑠璃乃,小铃,吟子,梢,花帆,缀理,姬芽
845LY9UX1,鈴木さつき,WN5B7VKPU,きんぴられんこん,4,167,3981299301454873,10,9,10,9,9,10,9,10,10
PJYEBRURT,しょーじ,CTW8DKV5P,まったり,11,168,3980202052786266,10,10,10,10,10,10,10,10,10
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,169,3974820705373882,10,10,10,10,10,10,10,10,10
5GUR9X53N,すてぽ,2B97MH4YA,同じ話し何回も…,7,170,3965938186367124,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,14,171,3960442200386537,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,172,3952938775679689,10,10,10,10,10,10,10,10,10
OYT13N3KM,ハノン,G59NGM0XA,シュリーレン,12,173,3948210466248138,10,10,10,10,10,10,10,10,10
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角,15,174,3940735808177629,10,10,10,10,10,10,10,10,10
3U8FCLD8W,すけ,HBM31HMUY,YUKIZURI,13,175,3935305838501350,10,10,10,10,10,10,10,10,10
AMV02DEFM,望月杏奈,FK5MUK0ET,くる♡すきクラブ,9,176,3928887862207475,10,10,10,10,10,10,10,10,10
THT84VUB7,オム,8M6UDX260,ぽけもん好き,4,177,3926126884249588,10,10,10,10,10,10,10,10,10
5T57VL8MF,柳田specⅡ,PBRDPWEY1,村村会,10,178,3916410227514743,10,10,10,10,10,10,10,10,10
CRBY4XCB9,すべゆるお,VW65MCVF8,スリスリーズ,12,179,3915516947371159,10,10,10,10,10,10,10,10,10
ZAHTN08A4,まいにち,WTJV514G9,蓮ノ空のお弁当屋,10,180,3910653025401945,10,10,10,10,10,10,10,10,10
LKY79HKFR,シラス柳田リリエ,FVJFA973A,蓮ノ空愛好会,7,181,3909126130684009,10,10,10,10,10,10,10,10,10
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,14,182,3903937254554765,10,10,10,10,10,10,10,10,10
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,13,183,3901931447963241,10,10,10,10,10,10,10,10,10
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,184,3894534314073902,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,ことねの,EYN9H9N16,蓮すきすきクラブ,14,185,3886034391785512,10,10,10,10,10,10,10,10,10
4YTEQDE04,せなねの,EYN9H9N16,蓮すきすきクラブ,12,186,3883988893082590,10,10,10,10,10,10,10,10,10
J9E2BXTUR,そーや,YE7CX8RNP,蓮ノ大三十角,10,187,3882251870575798,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,3,188,3881316346942474,10,10,10,10,10,10,10,10,10
VVRBWNSVQ,かんべえ,WN5B7VKPU,きんぴられんこん,15,189,3865412357617881,10,10,10,10,10,10,10,10,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,190,3860450729411604,10,10,10,10,10,10,10,10,10
DZ3B41G7E,お茶組織,CX967RTGY,おんゆあさーくる,8,191,3857586729725152,10,10,10,10,10,10,10,10,10
1FO8RWDNB,☀︎,YE7CX8RNP,蓮ノ大三十角,12,192,3856898841260725,10,10,10,10,10,10,10,10,10
TRLEB6AD0,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,193,3852839960302224,10,10,10,10,10,10,10,10,10
XEDYAEF7D,waito,PBRDPWEY1,村村会,2,194,3850938338734869,10,10,10,10,10,10,10,10,10
I3Z8DKKMK,naru,YCTM6RYDP,金沢おでん同好会,15,195,3847059502905878,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,196,3844790716242207,10,10,10,10,10,10,10,10,10
DCU9XHY3U,しばひめ,YE7CX8RNP,蓮ノ大三十角,7,197,3826625286450922,10,10,10,10,10,10,10,10,10
HUREN9CYS,サキ,PBRDPWEY1,村村会,2,198,3824879751048243,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,199,3821740431329265,10,10,9,10,10,10,10,10,10
8ZJCO1B8D,149*2³,VW65MCVF8,スリスリーズ,6,200,3821738985120345,10,10,10,10,10,10,10,10,10
IN27C39RY,スス,9YM3DBTB7,泥民館,14,201,3815993287477908,10,10,10,10,10,10,10,10,10
49TUEFEKF,もふもふまじん終,V6VCA0C4N,ドル家の『D』,13,202,3814319887580308,10,10,10,10,10,10,10,10,10
XKLJ2EBER,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,203,3806183866048419,10,10,10,10,10,10,10,10,10
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,204,3801316876954938,10,10,10,10,10,10,10,10,10
E1FUAMAEG,紫炎,9JTF508LB,スクスタ亡霊部,15,205,3798053807486927,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,7,206,3795796159099282,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,207,3794069854892734,10,10,10,10,10,10,10,10,10
OQX4GEHB0,ぎんいろ,11XTEEEJT,リンクラ料理部,9,208,3786943993187290,10,10,10,10,10,10,10,10,10
H827FHG5T,つな,FC8NBAJBT,ラー麺二郎金沢店,15,209,3786066045999442,10,10,10,10,10,10,10,10,10
MD4V14J7X,レイジングハート,H6JWBBGCG,蓮天・乙宗一心流,0,210,3781964981879450,10,10,10,10,10,10,10,10,10
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,12,211,3780232900921398,10,10,10,10,10,10,10,10,10
TF3P7YXVG,三面異次元人ギギ,VW65MCVF8,スリスリーズ,5,212,3777059765657632,10,10,10,10,10,10,10,10,10
E0JO659QD,ソン,11XTEEEJT,リンクラ料理部,13,213,3776371219310366,10,10,10,10,10,10,10,10,10
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,214,3772990238269026,10,10,10,10,10,10,10,10,10
AT03UHE11,えむ,25PMPEMG7,星見プロ,14,215,3770371572254554,10,10,10,10,10,10,10,10,10
