player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,花帆,梢,吟子,瑠璃乃,慈,さやか,缀理,数量
MNUBWRC8C,138,1035336124499625,でした。,R1RM3X0WV,後方腕組みオタク,2,10,10,10,10,10,10,10,10,10,1
10NAV71GP,139,1032101610808409,あばば,MAJT0THVB,眩耀夜行,4,10,10,10,10,10,10,10,10,10,1
7Q17H65NQ,140,1031767186983791,mitsu,YE7CX8RNP,能京カバディ部,6,10,10,10,10,10,10,10,10,10,1
U8OROTM2Y,141,1030980008428991,なってしまった！,YCTM6RYDP,金沢おでん同好会,9,10,10,10,10,10,10,10,10,10,1
12Y4UB4XJ,142,1030076717052958,かぴたる,49AMYCXCD,ルドベキア,10,10,10,10,10,10,10,10,9,10,1
DRSNNTTME,143,1029734763063580,もや,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10,1
L13896J13,144,1029337062032922,XLD,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10,1
K7QAEXJLJ,145,1025498966927022,のりすけ,49AMYCXCD,ルドベキア,10,10,10,10,10,10,10,10,10,10,1
VDNBJFHAE,146,1025112384957322,稲妻葵,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10,1
T95Y9M2F4,147,1025016141028223,いくりら,EYN9H9N16,蓮すきすきクラブ,10,10,10,10,10,10,10,10,10,10,1
C9325WMEN,148,1024065594560065,潮留美海,PBRDPWEY1,村村会,0,10,10,10,10,10,10,10,10,10,1
4KFUM6ADN,149,1021883411009348,ねくすと,M5LHG6R4T,乙宗動物園,6,10,10,10,10,10,10,10,10,10,1
ZNS2C16VP,150,1020565271081466,トニー,WX1DYC9Y1,ラナンキュラス,9,10,10,10,10,10,10,10,10,10,1
FRTXRTHK1,151,1019340373134073,コルド,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10,1
8ZJCO1B8D,152,1018655853907664,G4張り重要,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10,1
JFND2KZVS,153,1017959495356162,ルビジウム,FVJFA973A,蓮ノ空愛好会,10,10,10,10,10,10,10,10,10,10,1
7VGVR7YBY,154,1008753940600802,BANGYOUグ,FVJFA973A,蓮ノ空愛好会,12,10,10,10,10,10,10,10,10,10,1
CZKJL4VOV,155,1008409207968048,親戚プランタン,FVJFA973A,蓮ノ空愛好会,12,10,10,10,10,10,10,10,10,10,1
ME00V6X4B,156,1007982388070230,オラトニス,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,1
TXTPD6OZ9,157,1007817044749975,stella,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10,1
WP2XGUKDR,158,1001741796845851,はむはむ,B5V2LNN43,WMW,1,9,10,10,10,10,10,10,10,10,1
J5GI3NA6M,159,1000156263524022,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,10,10,10,10,10,10,10,10,10,1
KWSACZISO,160,995413039319715,すずき,CTW8DKV5P,まったり,15,10,10,10,10,10,10,10,10,10,1
5W83UKK4H,161,992641663605162,望月,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10,1
PLE67URFB,162,989628056932004,DasserAN,MAJT0THVB,眩耀夜行,1,10,10,10,10,10,10,10,10,10,1
L6A36K16J,163,985775045337866,08077777,FK5MUK0ET,くる♡すきクラブ,5,10,10,10,10,10,10,10,10,10,1
ODE064I6J,164,984108629063716,ちあき,M5LHG6R4T,乙宗動物園,2,10,10,10,10,10,10,10,10,10,1
GTVU8FY2P,165,982724011408521,963^3x2,FK5MUK0ET,くる♡すきクラブ,5,10,10,10,10,10,10,10,10,10,1
91HY4FXBS,166,982002351584593,ももこ。,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10,1
JC33CNHML,167,978017925453374,かすかす,PBRDPWEY1,村村会,3,10,10,10,10,10,10,10,10,10,1
45NY6HUBX,168,974297032286466,かいこ,25PMPEMG7,星見プロ,2,10,10,10,10,10,10,10,10,10,1
KWNXKNY6X,169,973461985523301,リンクラの正常化,49AMYCXCD,ルドベキア,14,10,10,10,10,10,10,10,10,10,1
L71LEGR49,170,971388990947726,かんなぎ,3BDTCERX6,打ち返した流れ星,5,10,10,10,10,10,10,10,10,10,1
EFW2PMAHB,171,970724946740308,くら,ABALH0AL3,楽園計画,13,10,10,10,10,10,10,10,10,10,1
Y2LLTQ4MF,172,970365933533717,Lautrum,M5LHG6R4T,乙宗動物園,14,10,10,10,10,10,10,10,10,10,1
OWS2KA4SW,173,967299916873512,ごみょ,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10,1
LVRF4GDVF,174,966540061910765,たぬ,VW65MCVF8,スリスリーズ,7,10,10,10,10,10,10,10,10,10,1
EEODMO0PN,175,966534725766200,kazami,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10,1
4YTEQDE04,176,965728927691636,まんまる,EYN9H9N16,蓮すきすきクラブ,6,10,10,10,10,10,10,10,10,10,1
FYK24K9Y1,177,965583909204874,卓球,HBUK6F7CC,乙宗梢なりきり部,5,10,10,10,10,10,10,10,10,10,1
5K59F4UVE,178,965160428124174,ガチャ至上主義,11FB0EDDT,スクステ同好会,2,10,10,9,8,10,8,9,8,8,1
K72PH1O9S,179,964751035921693,わっぴ,9VVUHVLTK,はすのひよこ,7,10,10,10,10,10,10,10,10,10,1
6X3LMM5NH,180,964368617238546,ズライカ,X7C21B7H7,泥,9,10,10,10,10,10,10,10,10,10,1
8HYVGQUX7,181,962465280172166,まさき,CXG25026E,泥のみんなS,12,10,10,10,10,10,10,10,10,10,1
CL0CDYUYY,182,958211193193240,かなちゃん,PBRDPWEY1,村村会,2,10,10,10,10,10,10,10,10,10,1
DYY5UB5XG,183,952795682747760,ミツキ,F2CFWVMY9,藤島め組,11,10,10,10,10,10,10,10,10,10,1
NFXWH51T4,184,950915268567722,そら,KT4C59NXG,めぐ島,1,10,10,10,10,10,10,10,10,10,1
JGREF0BPV,185,950473533292012,風花,494DMR1RJ,蓮ノ空推し活部,7,10,10,10,10,10,10,10,10,10,1
8E70ID58F,186,949070703089108,あるとす,WN5B7VKPU,きんぴられんこん,7,10,10,10,10,10,10,10,10,10,1
J4NN3D06A,187,948204958066694,斯波,FVJFA973A,蓮ノ空愛好会,9,10,10,10,10,10,10,10,10,10,1
N6KDBV2A2,188,946164827445004,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,10,10,10,10,10,10,10,10,10,10,1
VD8CGKV44,189,945035344998240,のたく,79C17CHA2,蓮ノ空出張部,2,10,10,10,10,10,10,10,10,10,1
TRLEB6AD0,190,943123514386168,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,5,10,10,10,10,10,10,10,10,10,1
7XT268BWG,191,941158502422512,冬はこずめぐ,FVJFA973A,蓮ノ空愛好会,7,10,10,10,10,10,10,10,10,10,1
1VM9SAJVY,192,941115659033310,ユデジロウ,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10,1
70NE2637U,193,941001937285038,りふいっと,BKLW6CR5L,Mix鮭の空!!,2,10,10,10,10,10,10,10,10,10,1
OOC27PRN6,194,940908629985152,リリィ,DH6C5B7WF,蓮ノ空FC,1,10,10,10,10,10,10,10,10,10,1
ROKS5RRX4,195,940416590226911,れんこん,BKLW6CR5L,Mix鮭の空!!,11,10,10,10,10,10,10,10,10,10,1
MTS3N3QJK,196,938065848339183,rifotaku,D5A2EEG7F,わたくしは大丈部,11,10,10,10,10,10,10,10,10,10,1
AT03UHE11,197,938051356940482,えむ,25PMPEMG7,星見プロ,5,10,10,10,10,10,10,10,10,10,1
AKMY82517,198,937508716081136,いずのあいさん,VW65MCVF8,スリスリーズ,13,10,10,10,10,10,10,10,10,10,1
LD542Q15X,199,936329200886337,よぜ,YDYH4VRRP,レンクウ,6,10,10,10,10,10,10,10,10,10,1
6PNANEUV0,200,934621339182730,なの,WN5B7VKPU,きんぴられんこん,8,10,10,10,10,10,10,10,10,10,1
IEBYCC1D7,201,932452136087565,わらび餅,RFYKY8DCD,LA.LA.LA,6,10,10,10,10,10,10,10,10,10,1
8YL7FPM4D,202,928154391898293,テツブリ,FK5MUK0ET,くる♡すきクラブ,11,10,10,10,10,10,10,10,10,10,1
BJ2YEFM93,203,927367263292935,テンババア,EYN9H9N16,蓮すきすきクラブ,3,10,10,10,10,10,10,10,10,10,1
V6X4BPJ37,204,926753403875356,SHIRO,G59NGM0XA,シュリーレン,7,10,10,10,10,10,10,10,10,10,1
318D0NMN0,205,925139069958708,たまちゃん,4XRHRYDW4,無言でエンジョイ,0,10,10,10,10,10,10,10,10,10,1
LDLTRQ88V,206,923141528567735,しらたま,YCTM6RYDP,金沢おでん同好会,15,10,10,10,10,10,10,10,10,10,1
LWHJCVJ19,207,920437324013306,小泉コン,FC8NBAJBT,ラー麺二郎金沢店,4,10,10,10,10,10,10,10,10,10,1
L2DNOMKBV,208,918648159260492,レーン,0TKFF5EG3,サークル名募集中,5,10,10,10,10,10,10,10,10,10,1
W6WFFMRAU,209,918533703754486,ほむまん,0UT59MJ8U,かほすこ同好会,6,10,10,10,10,10,10,10,10,10,1
IN27C39RY,210,917646601711723,スス,9YM3DBTB7,泥民館,8,10,10,10,10,10,10,10,10,10,1
