player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,瑠璃乃,姬芽,吟子,小铃,缀理,花帆,さやか,梢
0RG0HFRDS,はわわ,WLBYGHXPD,大天使村野さやか,12,4347,39458462782353,10,8,7,6,8,6,6,6,6
RM2GHAV28,haru,DHKUGEWBJ,めぐ党虹ヶ咲支部,6,4348,39441841999125,5,1,1,7,1,10,2,1,4
B49P9TFY4,けんご,XVTV7MVCX,雪月花,2,4349,39370682540156,7,2,1,5,5,3,5,8,5
EHCNHT2XN,taka,63AKA05VR,まったりGngy,3,4350,39353633685552,1,1,1,4,6,8,4,4,4
EQM3V1S38,メッヘン,L1VGJTD5P,蓮ノ空お茶会部,2,4351,39287290479582,5,7,4,6,7,5,8,5,8
72CGZ6K45,あんばぁ,G0WRCNRWK,県立沢庵図書館,9,4352,39276338028309,8,6,4,7,7,8,5,4,8
R5EXT9WC6,したむ,9YM3DBTB7,泥民館,0,4353,39274593237283,5,5,1,4,4,7,6,7,5
RALEMQTLZ,いか,BYA3FA0X8,無言ぼっち同好会,4,4354,39234682279002,5,6,5,4,5,5,5,5,4
3EEP8X0GC,楓紫@ミリオンP,8MLVA67AK,聖ミリオン女学園,0,4355,39213577814506,7,4,4,6,5,5,1,4,5
KRVL27LVH,zuzu,M08GKL70U,ららマジ難民の会,6,4356,39191933078250,4,7,4,6,5,5,4,4,5
SY66UXVUS,Maria,LUDNM40F8,ふくふく無言OK,1,4357,39163664006941,7,6,4,6,7,5,4,5,6
EPKW3LP7Y,おにまほ,05KN1RR3U,さやかほ花卉園,0,4358,39146320180701,1,1,1,2,7,7,1,1,1
C52LV667B,イオリ,73N4AB3LR,かほ子のイオン,4,4359,38986343295894,5,7,1,5,6,4,4,4,5
HX6YMMT89,AB-C,N7J2R9JDN,ログイン目標勢!,0,4360,38982152978968,1,2,1,4,5,4,4,1,5
3LGOQIOSC,raeeee,K25DPPGT9,圧倒的にまったり,6,4361,38981811629353,4,7,7,4,4,4,4,6,2
TH52BVJ5P,ふかこ,6BFC4G5YG,蓮ノ空足湯同好会,0,4362,38943577432699,6,6,6,4,4,5,4,4,5
TY6XRB1C8,rino321,5JJKPNN2W,めぐ党韓国支部,2,4363,38918648418918,4,7,1,4,10,4,7,8,5
STBVTN1A4,レイ,79C17CHA2,蓮ノ空出張部,1,4364,38884829344406,7,7,5,6,6,7,7,7,6
7L55Q5L3A,あそびの,5KFDF3U8L,蓮ノ空口下手部,10,4365,38880626646895,8,8,5,6,6,8,7,8,8
29WAYT8FM,reo,51CF1LTGY,ラ研連合,5,4366,38869968366626,1,7,1,2,10,2,9,1,8
O8V23808Y,himawari,NGMU0511T,無言のお茶会,0,4367,38857029804828,2,7,1,5,7,6,5,1,4
Z34UT6D80,東雲かい,13GY0NAD4,にこたまぱーく,2,4368,38759095962358,7,7,4,4,8,7,6,5,7
07P1LXJBV,ざくろ,C6V311T2P,LotuSky,7,4369,38752840504979,7,5,5,6,6,6,5,5,5
5GF0JFU0K,ねね,YAD615PCK,蓮を咲かせる泥達,6,4370,38718567782143,8,4,5,6,9,6,5,5,7
MYXP6MAC5,タロウ,25PMPEMG7,星見プロ,8,4371,38655479551018,10,10,10,10,10,10,10,10,10
BL3A93DCK,KKShiori,4WWM4VVDK,蓮ノ空遊戯開発部,3,4372,38653329482754,1,1,9,2,1,9,2,1,9
O98OIJEXZ,ルルドルフ,V26546K3D,乙宗気合筋肉,12,4373,38624556933920,7,6,5,6,6,7,7,7,6
0WNUYY1GC,とこ,WNMCNJ62M,チームまったり,2,4374,38615846980322,4,5,4,5,6,6,4,5,7
FUP3K00FA,コウジ,DVF76RK9D,ぼくらの太陽,2,4375,38569183554667,5,4,1,4,5,8,1,4,10
5PJMVDK3N,せかい,CRXN961YF,ビギナーズラック,0,4376,38537095431909,5,6,4,4,5,7,4,5,5
U5W3T74ZX,ラナンキュラス,8JMW9G2XW,僕らのリンクラ！,1,4377,38493302494557,8,5,5,4,4,8,4,4,8
R8XWPG9A8,さ,9U8KNU6U9,対抗戦用,0,4378,38425933267856,5,4,4,6,5,6,4,4,6
3XL963EHO,ダンクウ,YK0X6N2HN,無言OK出入自由,3,4379,38413656275803,7,7,7,7,7,7,8,7,7
XEKFCHKDD,ナジュ,PP31X3AWK,なんとかなるさ,4,4380,38375063968643,9,4,4,5,6,8,4,4,5
RN7L87TCD,勘のいいメスガキ,NT2KU5174,こずかほ。,4,4381,38370926754944,1,9,1,4,1,2,3,1,3
S1HVER23E,ハーシー,95TAREFPT,ご自由にどうぞ,3,4382,38315307686583,6,6,5,5,7,7,6,6,6
P9CKNPEU4,えちご,XY11YD61J,車団団,0,4383,38274819350462,5,5,1,5,7,5,5,7,5
90C5H5PNF,いぬ,UHF5Y8PEF,さやちゃん倶楽部,0,4384,38273198702092,6,7,4,6,5,7,6,6,5
MPETERTNV,めぐ党-M,DULFP3TRN,めぐ党員の部屋,2,4385,38257764537204,10,5,4,4,8,9,4,8,5
EDV2MVK0V,☆贄殿遮那☆,05KN1RR3U,さやかほ花卉園,4,4386,38252384617761,7,7,6,4,8,7,5,6,6
ETR8EC497,nagcgy,AWFDLJ1HC,小蓮花（重生版x,4,4387,38185800505121,4,4,1,5,1,8,1,9,3
ODVZ9RCGN,taiki,XHXW80FX5,ソロ活,3,4388,38155971339115,5,5,5,4,9,5,3,7,5
CIG88XHJP,日向（ひなた）,5C2EVBBC1,まったり蓮ノ空,11,4389,38107286391434,9,5,5,5,10,9,4,4,10
R2T4JPHCL,くるすりん！,4FUWL63MV,くるす推ちぇす党,0,4390,38067768549564,6,6,5,5,6,6,7,7,6
KMTGEKNR4,み み,HB2CV4C4U,アイスランド蓮,6,4391,37986539070105,8,7,5,6,6,9,7,7,8
7M77KVD4D,神楽光,919XF8V2V,蓮之空大三腳,1,4392,37808668596165,1,5,1,4,10,3,1,4,1
LJ1U0JNJ8,chaso,38JXMDXBT,蓮ノ空WATCH,3,4393,37776470940579,8,8,4,5,9,9,1,5,9
3J15R3K2L,壱与,M49MMBK4F,スリーズパーク,1,4394,37764457955013,9,5,5,5,8,9,4,5,4
IPE43Q5EB,今天也要努力起床,X19MP0NTT,蓮之空河豚养殖場,11,4395,37740913477453,7,7,6,2,4,4,4,4,7
3P8RP6BF3,ゆう,43HRXMXWA,無言OKクラブ,1,4396,37733806359327,5,4,3,6,5,5,7,4,4
4414A5DAK,ZERO,08DDCV5JN,黒ねこのしっぽ,0,4397,37684883445687,1,9,1,4,9,1,9,1,5
U5LL8KJFM,ぶんぶんまる,DKPMRA0TA,蓮ノ空奉仕部,0,4398,37657357510085,5,5,4,5,5,4,4,6,5
5W92XFKC0,アギーレ神の怒り,6C9R15BLY,スクスタ避難民,0,4399,37646065511199,7,7,4,6,6,7,5,4,4
C9ZXL5AO2,こなつ,59AK7LJ7A,とりあえず,1,4400,37531239416103,4,4,4,6,4,4,3,4,5
UAFTR920R,maho,48BTAPMBG,蓮ノ空魔術部,0,4401,37523584002185,4,4,5,4,9,4,4,4,4
0C5PC8R7E,Elonay,BTVC9G95X,FES用,2,4402,37523516502987,9,5,7,5,8,5,5,4,7
