player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,花帆,慈,梢,缀理,さやか,小铃,姬芽,吟子
FVGIW0W9J,PON,HMBW9DXY2,蓮好き皆あつまれ,1,15354,5570470703,5,9,4,5,5,4,7,4,6
FU57PUZL1,K,976BY5JWK,ハルカカナタ,0,15355,5558175218,10,4,7,1,1,4,2,4,2
TWVUJ34HH,みかん,15UKCFG7X,ろーたすぺたる！,0,15356,5555632905,1,1,7,3,5,2,1,5,2
FX0H73NXK,蓮ノ中華端末,NL1MPRG05,とりあえず,0,15357,5555441451,1,1,1,1,1,1,2,1,2
DWUHMKA5M,ヨハネ,,,0,15358,5554054130,4,4,5,4,5,5,5,4,4
8OM0TQZZA,ゆうゆう,H1LTYMK0B,花帆が可愛いの会,0,15359,5548813933,1,1,1,1,1,1,1,1,3
2N58RHGEK,しざき,UVK38MFR2,蓮の虚無サー,0,15360,5546772944,5,1,5,5,1,1,1,1,3
ND9EG49VV,ゆい,GYJ3C6TKR,綴理先輩好き好き,2,15361,5545756160,1,1,1,1,1,5,5,4,6
WF8N2L6H1,渡辺曜,MFRXC8MVG,蓮ノ空ドキ同好会,0,15362,5541088923,1,5,4,1,5,1,1,1,5
J06YMW54W,ナナめ45度,,,0,15363,5535739177,1,1,1,1,1,1,1,1,1
YXFCK2MTT,なつめ,DFFYFJ2B6,つづさや好き過ぎ,0,15364,5531469746,1,1,1,1,1,1,1,1,2
6YZSO6JRL,ラムッキ,5KK3DFY18,MUGEN∞,1,15365,5528628086,1,1,1,1,1,1,2,1,2
SOUTP99OV,たっかー,U8GLCJVJP,コミュ障用誰でも,0,15366,5527797055,4,4,1,1,5,1,1,1,2
75GJXRU7F,つけまい,,,0,15367,5512799504,2,2,2,2,4,1,1,1,1
8IF6IDDYC,Naginata,UJJ4KVDMV,水彩世界は正座,4,15368,5509551234,1,1,8,2,5,9,1,1,9
AFCN5GRDE,むーちょ,,,0,15369,5509489932,6,1,4,4,1,2,5,1,1
3NJTNARMH,ちゃんぽん,18YYNRFGA,LotusSky,1,15370,5484952471,3,2,1,1,2,1,9,2,5
N6B1E99NB,コリラ,9AYD3XJ2D,ぺんぎん隊,0,15371,5484899924,2,1,1,2,4,2,1,1,2
O0B97FW7H,ともちゃん,15UKCFG7X,ろーたすぺたる！,0,15372,5479770774,4,1,4,4,1,1,4,4,2
E698ETMKU,Philia,WAT20PN3Y,こな党,7,15373,5475492069,1,1,1,1,1,1,1,1,2
ERBVQUP87,srt,5W8RPRVUA,ド！ド！泥！,0,15374,5471480045,5,5,5,8,7,5,4,1,4
A25E55C6K,ひいらぎ,,,0,15375,5465151763,10,1,1,1,1,1,1,1,1
8TR2XYHCL,るみぃ,1XX6FWJRB,オートスキップ団,3,15376,5465055032,1,8,1,7,2,7,1,1,2
BFENK4C8G,もやし,MG3X118W7,大室家,0,15377,5464348891,5,2,4,6,6,4,7,4,2
4T8KMJELL,パッチルドン,H1G4CDT6C,無言自由,0,15378,5463013577,1,4,4,4,1,4,4,1,4
WB9P6HIGD,Aqua,,,0,15379,5462591533,1,1,1,2,1,2,2,1,1
YVH4PMERF,Tezo,KC1W74B9B,蓮六園,0,15380,5460127388,5,8,5,7,7,4,5,4,6
7E2128F7W,やまさん,6MGN82KBC,おさ屋,1,15381,5458136448,7,1,1,4,5,4,1,1,4
8R4ENG0A6,とにゐたけ,8MLVA67AK,聖ミリオン女学園,2,15382,5454520697,1,1,1,1,1,1,1,1,4
533GK0RXR,相沢梓,PD80VCP5N,虹ヶ咲学園,0,15383,5448058064,1,1,1,1,1,1,2,1,2
3MFBR2NHN,能登,RKT7BC4F6,人形浄瑠璃乃,2,15384,5444475057,1,2,10,8,8,1,3,4,4
UK5JLR4TE,うしー,,,0,15385,5433820754,1,1,1,1,1,1,1,1,1
472ADLDTZ,β寡鵡璽Å,UMG1B9C7V,蓮ノ空女学院,2,15386,5430232015,4,5,4,4,4,5,4,4,6
2TH83JBFW,ｄｏｎｋｏ,54JWUD9X0,異次元からの者,1,15387,5429556530,2,7,1,10,1,2,1,1,1
XHIN05IEX,ゆーゆ,36DAM7HBL,蓮隠れノ里,0,15388,5425000750,1,1,1,1,1,1,1,1,2
1DTV6F32X,うどん,8GAY2WBT6,(・8・),0,15389,5421530912,1,4,1,1,1,1,1,4,2
6KYT1F28A,イオンパン,9AYD3XJ2D,ぺんぎん隊,2,15390,5420175183,1,4,1,4,1,1,1,1,5
03PGMFBPW,R4mN3,3BDTCERX6,打ち返した流れ星,2,15391,5415111699,5,4,1,1,4,5,6,1,2
D8KNA6RFC,あおい,X87KNX4N3,蓮ノ流星群,7,15392,5407784800,1,1,1,1,1,1,2,1,2
BBHU75FYR,蓮すきすき,N9B8HXXR0,25時、残陽で。,0,15393,5399399531,1,1,1,1,1,1,9,3,2
U41ZTXQE6,のちもたー,6531MBM0X,のちもたーズ,0,15394,5399255939,4,1,4,5,3,1,1,1,1
3612D2BFF,北,,,0,15395,5395194447,7,5,6,9,6,6,6,4,5
T70XNYR6W,柊,6NMAGYFJF,努力未来乙宗梢,0,15396,5387435289,1,1,1,1,1,1,4,4,1
8J1641699,かわいい,VLY5JDKCV,新規なのだけれど,0,15397,5385704807,1,1,4,1,1,3,1,1,4
TK001VF4J,まつ,HKETDDCK6,ぼっちざ蓮!!,2,15398,5384905357,4,1,5,1,4,5,5,1,4
68CY4ANVP,悸动战士,M08GKL70U,ららマジ難民の会,0,15399,5383278923,4,1,4,1,4,1,2,1,3
LWLV14J0R,ペン木,E49YWK5YC,酢蓮根,0,15400,5371517490,8,5,5,1,1,1,8,1,2
8SGPYMJ1N,ほい助,AXGGJ4EJ1,所属だけしたい部,0,15401,5371294302,5,6,5,6,6,5,5,4,6
KPM9P9M72,福生天,Y337R7BW9,中国の蓮之空圈子,0,15402,5369028761,1,1,1,2,1,1,1,1,4
TMV3NM4U6,アイオライト,,,0,15403,5366582543,5,4,1,5,4,4,2,2,1
Q10PRKZ20,オズオタD.D.,2UKNVBMBU,梢ちゃん同好会,2,15404,5366064519,1,1,1,1,1,8,1,2,7
1JJVU45F8,らろ,TBL5BPL2T,蓮ノ空と明日の空,0,15405,5365627086,4,6,6,4,5,4,6,4,6
F94GD1RT6,モモンガ,,,0,15406,5363679000,2,1,2,1,2,1,5,1,1
67WM7OTD0,ひっさーし,,,0,15407,5362664272,4,4,5,5,4,4,5,1,1
8K4DHQZHG,くもスズメ,PRY4573W6,報酬用,2,15408,5353441650,4,4,6,7,5,1,7,4,4
YDBJDJUXH,居ぬ,WEJUAKY1N,梢先輩の跳びポ,0,15409,5349987851,3,5,7,10,5,2,1,4,4
UDW2WGG5B,ルル,CHYNT48H6,蓮ノ空新聞部,1,15410,5337988292,1,1,1,1,1,1,1,1,2
GFCU82O67,まつと,JWUL2T36L,チーム初心者,0,15411,5335874659,5,5,9,1,5,4,4,1,2
AG59TJUCV,hidead,7MPNTWKTN,Dreamers,0,15412,5335268930,2,1,1,2,2,5,3,1,4
1G4HNRFFN,はし,GN9EEL045,きらくに,0,15413,5326752666,1,1,1,1,1,1,1,1,2
8AKJ0V32Y,Aiito,,,0,15414,5323134193,1,2,1,2,2,1,3,1,1
G13EPL73N,ゆうきさくたん,CJWR9P8LM,花帆さん愛でる会,0,15415,5307885752,4,5,4,6,3,2,1,1,2
2C46TKEGV,ミラクルリ,EWM0GK62C,誰でもどうぞ,2,15416,5306730114,1,1,10,1,5,1,1,5,4
UXXLX5Y2M,なおっち,FTUJJ5KM9,無言◎私生活優先,0,15417,5304615390,1,1,1,1,1,1,1,1,2
7KIKWW6EA,おさ,C021HVB2B,第3芸能科,2,15418,5303711173,1,1,1,1,1,4,5,4,2
G55PW6AFR,Hannyu,AD9A9J96E,LLEspaña,0,15419,5302479734,1,1,2,1,2,1,3,3,3
BD84TW4T0,ななしの,,,0,15420,5296968168,4,1,8,9,5,1,5,4,4
YAAMY7ITB,よねぽん,X34LWGL6R,サークル2,0,15421,5294180803,1,2,1,2,1,1,1,1,3
0B5L2R52C,nobuさん,,,0,15422,5291231241,5,4,4,4,5,4,5,1,4
6FQFAXDI5,うさそく,H837E0M9R,沙知先輩大好き部,2,15423,5288131924,5,4,7,4,4,4,1,1,2
WADX538F5,渋谷かのん,MPPDGVPWX,気楽にプレイ中,0,15424,5285103951,1,1,1,1,1,1,1,1,1
T4MGULJUK,テルタ,K7LC46V5M,Link！ラ部,0,15425,5283078711,1,1,1,1,1,1,1,1,2
MS0FEJ2HP,余白,C2XLWUTL1,夕霧綴理親衛隊,3,15426,5274742992,1,3,1,1,1,1,1,1,9
1639FF2N7,色なし鉛筆,,,0,15427,5270431587,4,4,1,5,1,1,4,1,4
G5FCRFD0K,feng,DMDVHGFUG,インドネシア仲間,0,15428,5266864918,1,2,5,1,1,1,3,1,2
7O2HAKPM7,佐倉このは,0HW56TXE9,蓮ノ空教務支援室,0,15429,5265714301,1,1,1,1,1,1,1,1,1
27UU3K802,アキ×2,WLBYGHXPD,大天使村野さやか,0,15430,5265030094,1,1,1,1,2,1,2,1,2
1VCLBY8VV,naoki,PWK02KG0F,メメントの森公園,1,15431,5255919195,1,3,1,6,1,1,2,2,3
3JU68JN3I,おくち,AND13836G,乙宗梢親衛隊,2,15432,5228449362,1,1,1,1,1,1,1,1,2
9GTAH3J0O,バンダージャット,RMUU3AH3X,蓮ノ空広島県支部,0,15433,5223586486,5,1,4,4,5,4,6,4,4
4FYLWZ7OO,レザリック,LT9K2FP23,いな民リンクラ部,0,15434,5220552053,1,1,1,1,1,1,2,1,2
EGWS3UOIQ,アイシア,LB0K3MHND,フラワー,5,15435,5218703196,5,9,4,9,1,1,8,7,2
7BEEJB13B,サイトウ,AX2GWRBVC,やる気なく無気力,0,15436,5211786128,1,2,1,1,1,2,1,2,1
HFJMDUMA8,じゃむぱん,,,0,15437,5203839713,6,1,2,6,1,1,1,1,2
6YFXDJREW,toshi,XL1M7KUPL,始めたばかりです,0,15438,5203623013,4,4,5,8,4,1,5,4,1
CGEPDTU7E,えすてぃー,3BE2RELRC,見晴台,0,15439,5201567486,6,4,7,10,7,6,4,1,2
1DN6PVN6Z,ギンコ,28XJ8NK4L,蓮ノ空まったり部,2,15440,5200157312,2,1,7,7,4,4,2,1,2
1FU7E4WSO,YSK,,,2,15441,5199014872,8,4,4,5,4,4,4,4,5
NLLT8V6EJ,しょうゆ,MKUXK0AAY,閑古鳥,0,15442,5198098818,1,8,1,3,1,1,1,1,1
B4HMKJHL2,こすもす,VK5AU7U2U,蓮アフタークラブ,1,15443,5196304672,3,1,5,10,1,1,4,1,5
