player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,さやか,姬芽,吟子,小铃,花帆,塞拉斯,泉,季度等级,104季度等级
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,30,32682000,7,7,6,6,6,10,6,6,54,42
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,31,32606000,8,8,8,9,9,10,10,8,70,52
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,32,32547000,9,9,9,9,9,10,10,8,73,55
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,33,32442500,9,9,8,9,9,9,10,8,71,53
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,34,32351000,7,8,7,7,7,7,10,6,59,43
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,35,32268500,7,8,7,7,7,10,9,7,62,46
OWS2KA4SW,ごみょ,,,15,36,32259000,8,9,9,9,9,10,5,6,65,54
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,37,32243500,8,8,8,8,8,8,10,7,65,48
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,38,32239500,6,7,7,7,7,10,7,6,57,44
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,39,32204500,8,8,8,7,8,10,10,6,65,49
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,40,32203000,7,7,7,7,7,7,10,8,60,42
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,41,32095500,10,10,10,10,10,10,10,10,80,60
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,42,32041500,10,10,7,7,7,8,7,6,62,49
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,43,32015000,8,8,8,8,8,10,10,7,67,50
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,44,31990000,9,9,8,8,8,8,10,5,65,50
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,45,31918500,8,8,6,7,8,10,8,6,61,47
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,46,31905000,8,9,8,9,9,8,10,8,69,51
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,47,31901000,8,8,8,7,8,10,8,6,63,49
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,48,31660000,8,8,9,8,9,10,10,8,70,52
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,49,31633000,10,10,10,10,10,10,10,10,80,60
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,50,31609500,9,8,8,8,7,10,7,5,62,50
IN27C39RY,スス,9YM3DBTB7,泥民館,15,51,31599000,9,9,9,9,9,9,10,8,72,54
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,52,31583000,7,7,6,6,6,10,8,6,56,42
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,53,31525000,6,9,8,9,8,10,7,6,63,50
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,54,31415000,9,10,9,9,9,10,10,9,75,56
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,55,31411500,7,8,8,7,7,10,9,7,63,47
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,56,31398000,8,9,7,8,7,10,10,7,66,49
J9C1NN8VB,私はマグネット,VW65MCVF8,スリスリーズ,15,57,31354000,9,6,5,6,6,10,9,7,58,42
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,58,31278500,6,10,7,6,6,7,10,7,59,42
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,59,31249500,7,6,7,7,7,10,6,5,55,44
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,60,31235500,8,8,7,7,7,10,9,7,63,47
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,61,31180000,8,7,7,8,7,8,10,7,62,45
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,62,31179000,8,10,8,9,7,10,8,5,65,52
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,63,31145500,6,6,6,8,6,7,10,6,55,39
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,64,31129500,9,10,8,8,10,9,10,8,72,54
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,65,31067500,7,8,7,9,8,10,7,6,62,49
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,9,66,31054000,10,10,10,10,10,10,10,10,80,60
