player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,小铃,姬芽,吟子,瑠璃乃,泉,塞拉斯,季度等级,104季度等级
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,56,15685000,10,8,9,9,8,8,8,10,70,52
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,15,57,15683000,9,10,9,9,9,9,9,10,74,55
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,58,15678500,10,6,6,6,6,7,7,9,57,41
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,59,15678000,10,6,7,7,7,7,5,6,55,44
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,60,15611000,9,10,10,8,8,9,8,10,72,54
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,61,15572500,7,7,7,7,7,6,9,10,60,41
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,62,15546500,10,8,8,8,7,8,6,8,63,49
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,63,15539000,10,10,7,8,9,8,5,8,65,52
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,64,15535500,10,9,8,8,8,9,8,10,70,52
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,65,15486500,10,8,7,7,7,7,6,8,60,46
LQEN0GFVZ,ごろーざ,,,15,66,15474500,9,8,7,7,7,7,7,9,61,45
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,15,67,15463500,9,7,7,8,8,8,8,10,65,47
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,68,15460500,10,8,9,8,9,8,6,7,65,52
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,69,15441000,10,8,7,8,8,8,4,5,58,49
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,70,15439500,7,7,7,7,7,8,8,10,61,43
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,71,15389000,10,6,6,5,6,9,7,9,58,42
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,72,15374000,10,8,8,8,8,7,8,10,67,49
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,73,15353500,10,7,6,6,7,7,7,9,59,43
