player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,grade pt,塞拉斯,泉,花帆,姬芽,小铃,瑠璃乃,さやか,吟子,季度等级,104季度等级
7JNX2DBCM,おぎくぼ,11FB0EDDT,スクステ同好会,11,163,43589000,3879,10,6,8,7,7,5,6,8,57,41
3U8FCLD8W,すけ,HBM31HMUY,YUKIZURI,15,164,43588500,3878,10,6,10,8,8,9,10,8,69,53
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,165,43579000,3877,10,6,7,6,7,6,7,7,56,40
D0RVYCT5J,MONO,,,12,166,43570000,3877,10,10,10,10,10,10,10,10,80,60
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,15,167,43536500,3876,9,5,9,7,7,7,7,6,57,43
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,168,43533500,3876,10,7,8,7,7,7,8,8,62,45
XBQ9DY9FG,店長,3A63DYH54,LLすこすこ部,14,169,43518500,3875,8,6,10,8,8,8,8,8,64,50
49TUEFEKF,もふもふまじん,V6VCA0C4N,ドル家の『D』,15,170,43514500,3874,9,6,8,5,5,5,8,7,53,38
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,15,171,43506500,3874,9,6,9,5,5,5,7,5,51,36
U657JMLE5,hash,B5V2LNN43,WMW,15,172,43440500,3873,10,7,8,7,8,8,8,7,63,46
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,173,43396000,3873,8,6,10,8,8,8,8,8,64,50
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,174,43388000,3872,10,9,7,8,8,7,7,9,65,46
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角ex,3,175,43371000,3871,9,4,10,7,8,7,7,7,59,46
0R6JF8Y94,ししゃーも,0TKFF5EG3,サークル名募集中,9,175,43371000,3871,7,8,10,8,8,9,10,8,68,53
5GUR9X53N,すてぽ,2B97MH4YA,同じ話し何回も…,15,177,43359500, ,10,8,10,9,9,9,10,10,75,57
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,15,178,43356000,3870,10,5,6,6,10,6,10,7,60,45
L2DNOMKBV,レーン,0TKFF5EG3,サークル名募集中,13,179,43335000,3869,7,7,10,7,7,8,8,9,63,49
MOY90G2ES,kaz,2NY9H8BR9,乙宗紅茶館,15,180,43333000,3868,10,8,9,7,7,8,9,8,66,48
DCU9XHY3U,しばひめ,YE7CX8RNP,蓮ノ大三十角ex,13,181,43282000, ,9,6,10,6,6,7,8,7,59,44
4TIMH0CPX,ソフール,KXB93FVTR,フラワーガーデン,15,182,43280000,3867,10,9,9,6,7,6,9,8,64,45
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,15,183,43275000,3867,10,8,8,8,8,8,7,8,65,47
7A2IGCZZY,のぐまん,RFYKY8DCD,LA.LA.LA,7,184,43268000,3866,10,6,7,6,6,6,6,7,54,38
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,185,43266000,3865,10,6,7,7,6,10,7,6,59,43
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,15,186,43263000,3865,8,6,8,7,7,6,6,8,56,42
8JKPKHDHC,月鳥,EYN9H9N16,蓮すきすきクラブ,15,187,43262500,3864,8,6,10,7,6,8,9,7,61,47
LWRG7TEM3,嘘っち,25PMPEMG7,星見プロ,1,188,43262000,3864,9,7,9,7,7,7,8,7,61,45
V45G4Y8ER,ニッケル,GXR6C85BT,花帆ちゃん親衛隊,15,189,43253000,3863,9,6,10,7,8,7,8,8,63,48
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,15,190,43215500,3863,10,5,7,7,6,6,7,7,55,40
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,191,43211500,3862,10,10,6,7,8,6,7,10,64,44
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角ex,15,192,43209000,3861,10,8,9,6,6,5,7,6,57,39
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,15,193,43201500,3861,10,9,9,7,7,7,9,7,65,46
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,194,43180000,3860,9,6,8,7,6,6,6,7,55,40
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,195,43169000,3860,8,5,8,7,7,7,7,8,57,44
9I1VJ6KP7,MYAS,0TKFF5EG3,サークル名募集中,15,196,43131500,3859,10,6,8,7,7,8,7,8,61,45
