player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
U657JMLE5,hash,B5V2LNN43,WMW,15,191,7201000,7,7,7,7,7,7,7,7,56
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,15,192,7198000,8,7,6,6,6,6,7,7,53
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,193,7195000,5,6,6,6,7,6,6,6,48
ZNS2C16VP,トニー,WX1DYC9Y1,ラナンキュラス,9,194,7192500,10,6,7,8,6,6,6,8,57
A60CTPWTP,もっすん,WN5B7VKPU,きんぴられんこん,15,195,7192000,7,6,7,6,8,7,7,7,55
DCS0MRXJM,えせ,L28X4MDJN,アフター観たいぞ,10,196,7191500,4,8,8,8,9,8,4,8,57
1A279T9WC,ねば,3BDTCERX6,打ち返した流れ星,13,197,7188000,7,7,8,7,7,8,7,8,59
GVNJDLBW8,皇帝ペンギン1号,,,11,198,7186000,5,6,5,5,5,6,5,6,43
7HUTLH24X,からすみ,07JW71HWG,良いチケで観よう,15,199,7185000,6,7,7,7,8,8,4,8,55
1VM9SAJVY,ユデジロウ,,,11,200,7184500,6,7,6,6,7,6,6,7,51
CH6EH94XB,ばやしこ,VW65MCVF8,スリスリーズ,14,201,7183000,6,7,8,7,8,8,6,8,58
FYG0EH5AJ,R’s八重歯,W26TRPM1R,めぐ党藤島派,15,202,7180500,6,8,8,8,8,8,6,8,60
UGL8LNHRY,シグマ隊長,HBUK6F7CC,乙宗梢なりきり部,15,203,7179500,6,8,7,8,7,7,9,8,60
T8W3G9VWA,とれいん,GKR9TEBYC,毎日がホリデイ♪,13,204,7178000,9,10,8,8,9,8,9,10,71
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,205,7177000,5,7,7,7,8,7,5,8,54
E60YJ59TP,ロレ,VW65MCVF8,スリスリーズ,13,206,7176000,6,5,6,6,6,6,7,6,48
UYWXG3CKZ,はすた,PBRDPWEY1,村村会,15,207,7170500,5,6,6,6,6,6,6,6,47
AUEOHWX6Y,ざき,EECF9C0N3,蓮ノ空　茨城分校,15,208,7168000,8,8,7,7,7,7,8,7,59
8JKPKHDHC,鳥月,EYN9H9N16,蓮すきすきクラブ,15,209,7166500,3,7,6,7,6,6,6,7,48
