player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
G6MTHY6UD,yeah,37N3TNTVB,推しを布教する処,0,15862,3092120,61864528.0,13160.0,242011840.0,12405.0,,,1,1,1,1,1,1,1,1
4AA8CR65Y,なっつん,DUWFNJP7Y,蓮っ子北海道支部,1,15864,3092055,87986085.0,12638.0,145948840.0,12941.0,,,1,1,1,1,1,1,1,1
2Y76A6KHA,ゼロ,KGG6VMD1R,本蓮沼連合,0,15865,3091795,,,,,,,1,1,2,2,1,1,1,1
MPRK4GAF8,草履虫,,,0,15866,3091755,,,,,,,2,1,4,2,1,1,3,1
XYTBERDHC,もち,,,0,15867,3091660,,,,,,,1,1,1,4,1,1,4,1
1U2J2605A,宇宙似,A1GBKA16P,アシュラム,0,15868,3091440,,,,,,,4,1,4,5,1,4,4,4
CNNJNRPPL,Kyle,,,0,15869,3091320,,,,,,,1,1,1,1,1,1,2,1
O8R80Z0CG,鰤,H6CCL64P9,NATTO,0,15870,3091110,,,,,,,1,1,5,1,1,1,1,1
8CX1Y5W6V,星野あかつき☆,,,0,15871,3090995,92862496.0,12552.0,,,23696424.0,13224.0,2,1,1,3,1,1,1,1
TJN8UVWJ0,蒼 瑠璃＠さや推,,,0,15872,3090815,,,,,,,2,1,6,2,1,1,1,1
KLLL2A5T5,三宅長盛,,,0,15873,3090795,,,,,,,1,1,3,1,2,1,1,1
993YWB5UV,木村真純,,,0,15874,3090725,51510041.0,13383.0,,,134529569.0,12448.0,1,1,1,1,1,1,1,6
AY2GRN0T7,なき,F08AHUJJ0,綴理のお世話係,0,15875,3090690,50604624.0,13403.0,231785134.0,12448.0,,,1,4,1,7,1,2,1,5
UPV0UTT58,しよしのん,,,0,15876,3090640,,,,,,,3,1,4,4,3,2,2,1
8C4D86JJK,Yaino,A7WWE0463,蓮ノ空初心者部,0,15877,3090370,,,248865537.0,12371.0,15790.0,13529.0,1,1,1,1,1,1,1,1
477P1WCXV,海曜雫香,XXMU9WLKB,梢の機械さん,1,15878,3090340,45153648.0,13504.0,239945332.0,12417.0,,,1,4,1,1,1,1,4,4
EY1XT1C0D,シ○・バッドガイ,60KU468X3,はっすーず,0,15879,3090030,,,141696126.0,12967.0,,,1,1,1,4,1,1,1,4
