player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,144,36490000,8,8,8,8,8,8,6,10,64,48
V4BF6FLLT,あめたま,2K5AM4RV0,とろぺりです,10,145,36488000,10,8,9,8,8,8,5,8,64,51
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗動物園,15,146,36484000,7,7,9,7,7,7,7,10,61,44
FYG0EH5AJ,R’s八重歯,W26TRPM1R,めぐ党藤島派,15,147,36452000,10,9,10,9,10,9,7,9,73,57
HY934N56T,ゆ、指輪！？！？,,,10,148,36441000,10,7,7,7,7,7,6,8,59,45
OOC27PRN6,リリィ,,,2,148,36441000,10,7,7,6,8,8,6,7,59,46
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,150,36436000,10,6,7,6,8,6,7,9,59,43
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,151,36428500,10,9,7,8,8,7,4,10,63,49
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,152,36421000,8,7,8,8,7,7,8,10,63,45
W0WYHMBR4,リョータ,3BDTCERX6,打ち返した流れ星,13,153,36420000,10,7,7,7,6,10,6,8,61,47
QOE50Z9JA,フェス,49AMYCXCD,ルドベキア,15,154,36417000,10,8,8,9,8,8,7,10,68,51
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,155,36413500,9,6,7,7,7,7,7,9,59,43
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,15,156,36402700,10,5,6,5,7,8,5,5,51,41
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,157,36361000,10,8,8,8,8,8,6,8,64,50
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,14,158,36355000,10,8,7,8,7,7,4,7,58,47
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,15,159,36343500,9,5,7,5,5,5,6,9,51,36
152BPF239,たると,YE7CX8RNP,蓮ノ大三十角ex,10,160,36338000,10,7,9,8,7,7,7,7,62,48
7JNX2DBCM,おぎくぼ,11FB0EDDT,スクステ同好会,11,161,36337500,8,7,6,5,7,8,6,10,57,41
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,161,36337500,7,7,7,6,6,7,6,10,56,40
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,4,163,36294000,7,7,8,7,7,9,8,10,63,45
LXROXCRPX,たな,RFYKY8DCD,LA.LA.LA,15,164,36293500,10,9,9,7,8,9,6,8,66,52
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,15,165,36277500,9,7,7,7,7,6,5,9,57,43
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,166,36274500,8,7,8,7,7,8,7,10,62,45
49TUEFEKF,もふもふまじん,V6VCA0C4N,ドル家の『D』,15,167,36266500,8,5,8,5,5,7,6,9,53,38
9LL7HBP0W,ALKY,X7C21B7H7,泥,15,168,36258500,10,7,8,8,7,7,7,9,63,47
MOY90G2ES,kaz,2NY9H8BR9,乙宗紅茶館,15,169,36246500,9,7,9,8,7,8,7,10,65,48
XBQ9DY9FG,店長,3A63DYH54,LLすこすこ部,14,170,36239500,10,8,8,8,8,8,6,8,64,50
3U8FCLD8W,すけ,HBM31HMUY,YUKIZURI,15,171,36230500,10,8,10,8,8,7,6,10,67,51
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,15,172,36219500,7,8,7,7,8,9,9,10,65,46
U657JMLE5,hash,B5V2LNN43,WMW,15,173,36208500,8,8,8,8,7,7,7,10,63,46
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角ex,3,174,36151500,10,8,7,7,7,7,4,9,59,46
L2DNOMKBV,レーン,0TKFF5EG3,サークル名募集中,13,175,36134000,10,7,8,8,7,9,7,7,63,49
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,15,176,36120500,6,10,10,6,6,7,5,10,60,45
5GUR9X53N,すてぽ,2B97MH4YA,同じ話し何回も…,15,177,36116000,10,9,10,9,9,10,8,10,75,57
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,15,178,36100500,7,6,7,6,7,7,5,10,55,40
0R6JF8Y94,ししゃーも,0TKFF5EG3,サークル名募集中,9,179,36094500,10,8,10,9,8,8,8,7,68,53
7A2IGCZZY,のぐまん,RFYKY8DCD,LA.LA.LA,7,180,36087500,7,6,6,6,6,6,6,10,53,37
OJ8LRLQKO,抹茶あいす,1DU9LCND7,蓮ノ空すこやか部,15,181,36085000,8,8,7,8,8,8,8,10,65,47
DCU9XHY3U,しばひめ,YE7CX8RNP,蓮ノ大三十角ex,13,182,36071500,10,6,8,7,6,7,6,9,59,44
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,15,183,36068000,8,7,6,6,7,8,6,8,56,42
4TIMH0CPX,ソフール,KXB93FVTR,フラワーガーデン,15,184,36064500,9,7,9,6,6,8,9,10,64,45
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角ex,15,185,36054000,9,6,7,5,6,6,8,10,57,39
8YL7FPM4D,Pカッパー,FK5MUK0ET,くる♡すきクラブ,15,186,36039000,10,7,9,8,9,10,8,8,69,53
V45G4Y8ER,ニッケル,GXR6C85BT,花帆ちゃん親衛隊,15,187,36020500,10,8,8,7,7,8,6,9,63,48
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,188,36007000,8,7,7,7,7,8,5,8,57,44
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,189,35993500,7,6,7,10,7,6,6,10,59,43
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,190,35979500,6,8,7,6,7,10,10,10,64,44
9I1VJ6KP7,MYAS,0TKFF5EG3,サークル名募集中,15,191,35976000,8,7,7,7,7,8,6,10,60,44
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,192,35972000,8,6,6,6,7,7,6,9,55,40
8JKPKHDHC,月鳥,EYN9H9N16,蓮すきすきクラブ,15,193,35961500,10,6,8,7,6,6,6,8,57,43
J4NN3D06A,斯波,,,15,194,35938305,9,8,10,9,7,8,9,10,70,51
THT84VUB7,オム,8M6UDX260,ぽけもん好き,4,195,35907500,10,9,7,6,8,7,4,7,58,47
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,196,35892000,9,7,8,8,8,8,7,10,65,48
0IEZ2HUX7,はる,HBM31HMUY,YUKIZURI,15,197,35876000,10,7,7,7,7,7,7,8,60,45
DUGKFJTKX,松山 祐季,6XX7GBM0K,ぷちぐる同好会,15,198,35868000,10,9,9,10,9,9,8,10,74,56
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,199,35866000,10,6,7,6,6,7,8,10,60,42
LWRG7TEM3,嘘っち,25PMPEMG7,星見プロ,1,200,35861500,9,7,8,7,7,7,7,9,61,45
2WT4NHVZ5,のぞのぞみん,11FB0EDDT,スクステ同好会,15,201,35852000,8,7,8,6,7,8,8,10,62,44
VVRBWNSVQ,かんべえ,WN5B7VKPU,きんぴられんこん,15,202,35844500,9,6,8,5,7,5,10,7,57,40
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,15,203,35834000,8,7,8,7,7,7,9,10,63,44
