player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
NLNKEMVRB,高町なのはな,0UT59MJ8U,かほすこ同好会,13,34,41465000,640564347437993.0,25.0,571995879378819.0,56.0,886692698002084.0,22.0,10,10,10,10,10,10,10,10,80,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,村村動物園,15,35,41460000,621556441672651.0,52.0,607796176825316.0,18.0,943790066543306.0,13.0,10,10,10,10,10,10,10,10,80,60
JC33CNHML,かすかす,M5LHG6R4T,村村動物園,15,36,41245000,634295051049597.0,35.0,617813393413881.0,12.0,746158433996441.0,129.0,10,10,10,10,10,10,10,10,80,60
TXTPD6OZ9,stella,M5LHG6R4T,村村動物園,15,37,41200000,618360835610685.0,57.0,587180803367444.0,40.0,985590011153497.0,7.0,10,10,10,10,10,10,10,10,80,60
CZKJL4VOV,リリエンフェル党,9WDMCJNFX,雨と風と太陽と,15,38,41105000,647181646086124.0,8.0,593261879570906.0,34.0,781299307059718.0,86.0,10,10,10,10,10,10,10,10,80,60
CL0CDYUYY,かなちゃん,M5LHG6R4T,村村動物園,15,39,40988000,635680023024531.0,33.0,583544757196927.0,43.0,797827633997072.0,69.0,10,10,10,10,10,10,10,10,80,60
64M70NFSR,ひーのツインテ,M5LHG6R4T,村村動物園,15,40,40955000,647504249976014.0,7.0,582611996583007.0,44.0,790873217735047.0,80.0,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,ЫПТ,YE7CX8RNP,蓮ノ大三十角ex,15,41,40810000,618229819259741.0,58.0,596479107093084.0,28.0,778847475223341.0,87.0,10,10,10,10,10,10,10,10,80,60
BJI9H7CC6,エイジ,M5LHG6R4T,村村動物園,12,42,40740000,636478314206316.0,30.0,563519105587764.0,66.0,807971746840758.0,57.0,10,10,10,10,10,10,10,10,80,60
TUHKRV0IW,ポン,9WDMCJNFX,雨と風と太陽と,15,43,40546000,644555216868340.0,17.0,620731340317290.0,9.0,757760571753956.0,114.0,10,10,10,10,10,10,10,10,80,60
B424J17UB,ギンッカ,9WDMCJNFX,雨と風と太陽と,15,44,40500000,604236714561431.0,78.0,578577235862336.0,49.0,947021851005593.0,12.0,10,10,10,10,10,10,10,10,80,60
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,45,40460000,623443999105664.0,48.0,582488689215248.0,45.0,804448477173578.0,59.0,10,10,10,10,10,10,10,10,80,60
ODE064I6J,ちあき,M5LHG6R4T,村村動物園,12,46,40243000,645030424069441.0,16.0,585741073243041.0,41.0,732139127569890.0,154.0,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,借金250万,9WDMCJNFX,雨と風と太陽と,15,47,40182000,607071686710209.0,73.0,595721254739200.0,31.0,857309525589563.0,28.0,10,10,10,10,10,10,10,10,80,60
FWBTX791U,garry,M5LHG6R4T,村村動物園,11,48,40137000,612741825648821.0,67.0,533132143715821.0,103.0,968747273109795.0,9.0,10,10,10,10,10,10,10,10,80,60
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,49,40130000,617104783844422.0,61.0,588739305378083.0,37.0,800764346463363.0,63.0,10,10,10,10,10,10,10,10,80,60
FM1GCQSEE,Goona,M5LHG6R4T,村村動物園,13,50,40104000,614625826966810.0,64.0,550789233345351.0,83.0,793912875890547.0,76.0,10,10,10,10,10,10,10,10,80,60
4W6BIX284,リリィ♡,R181MKNX1,みらくらは人生！,15,51,40005000,617652347728641.0,60.0,569062776950299.0,59.0,817275444458031.0,47.0,10,10,10,10,10,10,10,10,80,60
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,7,52,39925000,622647108364702.0,50.0,572887472081870.0,53.0,799764038542341.0,66.0,10,10,10,10,10,10,10,10,80,60
9ENVXR95K,マオ,M5LHG6R4T,村村動物園,10,53,39820000,617679709685912.0,59.0,491497300387582.0,185.0,875990542361054.0,24.0,10,10,10,10,10,10,10,10,80,60
7TAQGMS8W,デデデ,M5LHG6R4T,村村動物園,15,54,39790000,602863177940528.0,83.0,558567552473181.0,71.0,829918297552044.0,41.0,10,10,10,10,10,10,10,10,80,60
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,55,39715000,615313285406501.0,63.0,551876115781835.0,81.0,806217728402624.0,58.0,10,10,10,10,10,10,10,10,80,60
HU55NKXPK,Rsハウスネイル,9WDMCJNFX,雨と風と太陽と,15,56,39628900,636020386281820.0,31.0,596487806304447.0,27.0,0.0,12606.0,10,10,10,10,10,10,10,10,80,60
KXMPLAX04,ろーぱす,EYN9H9N16,蓮すきすきクラブ,15,57,39622000,600356649085814.0,84.0,525639209935481.0,112.0,836609457199133.0,39.0,10,10,10,10,10,10,10,10,80,60
70NE2637U,ﾁｭｹに恋せし男,49AMYCXCD,ルドベキア,8,58,39593000,598876491944902.0,88.0,571007877233730.0,58.0,752605208836358.0,118.0,10,10,10,10,10,10,10,10,80,60
