player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,小铃,慈,瑠璃乃,さやか,花帆,缀理,梢
LEEU9JZFJ,177,798915355213186,きりんちゃん,49AMYCXCD,ルドベキア,12,9,8,10,10,10,10,9,10,10
76L1SWWX0,178,798699439153705,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,13,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,179,798266062632156,たかやん,VW65MCVF8,スリスリーズ,15,8,9,8,10,7,7,7,10,10
QUQRGUWJL,180,798166935104149,にしおり,49AMYCXCD,ルドベキア,9,8,7,7,8,9,7,7,9,8
T8W3G9VWA,181,796235032833099,とれいん,GKR9TEBYC,毎日がホリデイ♪,9,10,10,10,10,10,10,10,10,10
H827FHG5T,182,795963214540063,つな,FC8NBAJBT,ラー麺二郎金沢店,12,10,9,10,10,10,10,10,10,10
RBOS9CUIB,183,794630248102176,たわ,W3YKKRWHG,ルリと愉快な一家,12,10,10,10,10,10,10,10,10,10
J4NN3D06A,184,793741766189161,斯波,FVJFA973A,蓮ノ空愛好会,15,10,9,10,10,10,10,10,10,10
8EB0GXWX1,185,791745670564528,みむ。,EYN9H9N16,蓮すきすきクラブ,4,9,9,8,8,8,4,3,8,8
RND3BA6Q4,186,790948608725978,あゆ,49AMYCXCD,ルドベキア,15,10,10,10,10,9,9,10,10,10
80YJPN7V1,187,790698765036490,シガナ,25PMPEMG7,星見プロ,11,10,10,9,10,9,10,10,9,10
JCTUKGY3G,188,788945717465634,花帆慈慈慈恋凍,KW0RM1LEP,はすっこくらぶ,11,9,10,10,10,10,10,10,10,10
K7QAEXJLJ,189,788649829841693,のりすけ,49AMYCXCD,ルドベキア,15,8,8,8,10,10,9,8,10,10
INAGE6AD9,190,788469283194254,halxiel,X34LWGL6R,サークル2,12,7,7,7,10,8,10,10,10,10
8W61A02JJ,191,787704896097901,ごんべん京,W3YKKRWHG,ルリと愉快な一家,9,10,10,10,10,10,10,10,10,10
DPQ6HPBXJ,192,785660329992748,黒い秋,49AMYCXCD,ルドベキア,4,9,9,9,9,9,9,10,10,9
4KFUM6ADN,193,785545662907435,ねくすと,M5LHG6R4T,乙宗動物園,14,9,8,10,10,10,10,10,10,9
HY934N56T,194,785102960926536,キュアップラパパ,BKLW6CR5L,Mix鮭の空!!,9,8,8,8,10,8,8,9,10,10
0TLDUDJ0J,195,784977302457329,すとーん,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
KJ69D4PA4,196,783307582336914,ぱん,G59NGM0XA,シュリーレン,12,10,10,10,10,10,10,9,10,10
8JKPKHDHC,197,782474892933506,2252,EYN9H9N16,蓮すきすきクラブ,15,8,7,7,10,8,9,8,10,10
9RV301LEB,198,781408893623917,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,8,10,9,10,10,10,10,10,10
VVRBWNSVQ,199,780303885959355,かんべえ,WN5B7VKPU,きんぴられんこん,15,9,9,9,9,10,9,8,10,9
MNUBWRC8C,200,779285084454296,でした。,R1RM3X0WV,後方腕組みオタク,9,10,10,10,10,10,10,10,10,10
6PNANEUV0,201,777513910503269,なの,WN5B7VKPU,きんぴられんこん,10,8,9,10,10,10,9,8,10,10
RV0TDDA7D,202,776234004800313,ブリてっか,BKLW6CR5L,Mix鮭の空!!,14,10,9,10,10,8,7,8,10,10
VD8CGKV44,203,774708763391849,のたく,79C17CHA2,蓮ノ空出張部,12,10,10,10,10,10,10,10,10,10
OC4GF3LF1,204,773551617666584,ゆとり,M5LHG6R4T,乙宗動物園,12,10,9,10,9,10,10,10,9,10
8Q0P3A5Y5,205,773366837697734,よしお,CM5THHYHB,「」ノ空だけれど,15,9,8,9,9,9,9,9,9,10
NT480V79A,206,772956917767822,ゆざくら,PBRDPWEY1,村村会,11,10,10,10,10,10,10,10,10,10
ISRNX35D4,207,772882588890212,KYB,RWARTHA1M,乙宗梢大好き部,7,8,8,8,9,8,8,7,9,9
7VE9T0CUP,208,772648497012393,村・フン民,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
84U35FCIX,209,772073008768233,じゃじゃ,YCTM6RYDP,金沢おでん同好会,7,10,10,10,10,10,10,10,10,10
19KYGA4WX,210,771740551707932,ココ,25PMPEMG7,星見プロ,14,10,9,9,10,10,10,10,10,10
4YTEQDE04,211,767783206171358,とまかの！！,EYN9H9N16,蓮すきすきクラブ,12,8,9,10,10,7,7,10,8,9
MF5AJYWR7,212,762901086241648,あさかぜ,25PMPEMG7,星見プロ,6,10,10,10,10,10,10,10,10,10
RRW2O1DH8,213,762492044712889,ふかひれ,49AMYCXCD,ルドベキア,13,9,9,9,10,9,10,10,10,10
KYXUCDX5P,214,762377240331769,米豆梨（みどり）,9YM3DBTB7,泥民館,2,10,9,10,10,10,9,9,10,9
NXLLUPEY0,215,761699916022598,ゆ〜いん,R181MKNX1,みらくらは人生！,12,8,9,8,10,10,8,9,10,10
152BPF239,216,761409760814028,たると,YE7CX8RNP,能京カバディ部,3,6,6,7,8,8,10,10,8,9
LQEN0GFVZ,217,760002228167180,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,8,8,9,9,10,9,9,9,10
