player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A rank , 结算前B分数 , 结算前B rank , 结算前C分数 , 结算前C rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,15,87,15083000," 629,705,762,190,245 ", 28 ," 466,806,281,027,322 ", 131 , - , - ,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,49AMYCXCD,ルドベキア,15,88,15079000," 609,503,878,834,801 ", 152 ," 487,572,898,398,459 ", 52 ," 492,382,831,092,657 ", 78 ,10,10,10,10,10,10,10,10,80
T8W3G9VWA,とれいん,GKR9TEBYC,毎日がホリデイ♪,13,89,15066000," 619,319,663,729,372 ", 88 ," 436,889,891,447,278 ", 275 ," 471,665,112,105,545 ", 209 ,10,10,10,10,10,10,10,10,80
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,90,15064000," 622,667,048,654,615 ", 67 ," 491,038,742,654,109 ", 43 ," 491,937,199,527,450 ", 84 ,10,9,10,10,10,10,10,10,79
8GYTX89XA,ｺﾅ,PBRDPWEY1,村村会,15,91,15053000," 625,911,501,623,813 ", 45 ," 464,000,938,365,961 ", 144 ," 495,281,858,922,632 ", 66 ,10,10,10,10,10,10,10,10,80
8YL7FPM4D,be proud,FK5MUK0ET,こな♡すきクラブ,16,92,15015000," 619,602,195,202,377 ", 85 ," 476,502,423,481,745 ", 91 ," 493,219,509,078,200 ", 75 ,10,10,10,10,10,10,10,10,80
WBWATJ60W,超新星爆発,YE7CX8RNP,蓮ノ大三十角ex,14,93,14996000," 616,620,753,087,953 ", 107 ," 472,298,668,852,566 ", 106 ," 488,873,007,657,976 ", 99 ,10,10,10,10,10,10,10,10,80
JFND2KZVS,ルビジウム,NJBBTCY3A,かにかに！,15,94,14983000," 618,003,716,107,971 ", 97 ," 482,482,071,679,659 ", 74 ," 481,963,305,087,075 ", 135 ,10,10,10,10,10,10,10,10,80
BCUBTG3Y4,ノノ,B5V2LNN43,WMW,14,95,14919000," 594,265,105,787,030 ", 234 ," 461,894,345,495,329 ", 160 ," 478,479,091,175,760 ", 169 ,10,10,10,10,10,10,10,10,80
NS40I5V6W,創始（P.N.）,YCTM6RYDP,金沢おでん同好会,16,96,14916000," 610,284,764,078,638 ", 148 ," 477,225,562,572,888 ", 89 ," 483,118,840,145,177 ", 128 ,10,10,10,10,10,10,10,10,80
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,16,97,14908000," 618,189,367,501,336 ", 95 ," 485,111,080,615,081 ", 63 ," 485,126,130,032,184 ", 117 ,10,10,10,10,10,10,8,10,78
KWNXKNY6X,応愛果林,49AMYCXCD,ルドベキア,16,98,14900000," 615,253,171,436,671 ", 118 ," 476,359,665,544,675 ", 92 ," 483,092,761,423,235 ", 129 ,10,10,10,10,10,10,10,10,80
1A279T9WC,ねば,49AMYCXCD,ルドベキア,15,99,14889000," 617,846,871,993,377 ", 101 ," 470,530,079,924,034 ", 115 ," 497,874,187,710,986 ", 57 ,10,10,10,10,10,10,10,10,80
30CWC728L,naonao,2K5AM4RV0,とろぺりです,4,100,14886000," 612,466,152,915,867 ", 136 ," 458,825,255,637,133 ", 177 ," 478,495,871,617,256 ", 168 ,10,10,10,10,10,10,10,10,80
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,9,101,14875000," 605,696,619,814,091 ", 172 ," 483,768,095,219,768 ", 69 ," 489,238,343,559,617 ", 97 ,10,10,9,9,10,10,9,10,77
AFMBX6BPP,千切 豹馬,PBRDPWEY1,村村会,13,102,14873000," 623,350,104,715,776 ", 58 ," 485,621,973,423,431 ", 59 ," 473,065,392,724,845 ", 202 ,10,10,10,10,10,10,10,10,80
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,16,103,14865000," 621,348,492,666,556 ", 75 ," 466,086,388,578,861 ", 135 ," 481,387,451,555,592 ", 139 ,10,10,10,10,10,10,10,10,80
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,16,103,14865000," 627,293,296,427,385 ", 39 ," 462,686,130,293,362 ", 152 ," 488,501,148,651,201 ", 104 ,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,16,105,14831000," 617,122,420,896,072 ", 104 ," 482,516,646,863,191 ", 73 ," 497,276,404,200,216 ", 60 ,10,10,9,10,10,10,9,10,78
INAGE6AD9,halxiel,X34LWGL6R,サークル2,13,106,14829000," 629,960,322,646,827 ", 25 ," 491,007,515,788,651 ", 45 ," 487,638,167,768,360 ", 106 ,10,10,10,10,10,10,10,10,80
EQCWYNLEG,サグ☆ナッツ,7R8NKPAB1,花帆推し倶楽部,14,107,14805000," 613,657,325,044,536 ", 127 ," 461,345,300,709,761 ", 164 ," 464,896,517,555,175 ", 248 ,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,M5LHG6R4T,乙宗動物園,16,108,14803000," 628,918,689,684,609 ", 31 ," 483,071,391,892,013 ", 71 ," 488,571,633,217,343 ", 102 ,10,10,10,10,10,10,10,10,80
